"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HIST1H2BJ",1.94279322871074e-48,3.66775831489022,0.077,0.1,5.82837968613223e-45
"POLQ",2.14056153077168e-48,-0.73446997148897,0.202,0.297,6.42168459231505e-45
"KPNA2",3.17465419753324e-48,-0.479752569306096,0.299,0.454,9.52396259259972e-45
"PGBD1",3.22181550948834e-48,1.86233224431962,0.341,0.495,9.66544652846501e-45
"ACOXL",4.105511376954e-48,4.6150589835634,0.28,0.378,1.2316534130862e-44
"ZNF420",6.53319572391683e-48,4.65638262976212,0.21,0.319,1.95995871717505e-44
"ANKS6",1.11551573195835e-47,3.2723229290315,0.229,0.339,3.34654719587504e-44
"PTPN13",1.33386659845181e-47,3.63646370987048,0.125,0.157,4.00159979535544e-44
"P2RX5",1.53749668395909e-47,3.73296555203436,0.152,0.22,4.61249005187726e-44
"SLC41A3",1.57530378699933e-47,2.87388332383801,0.308,0.417,4.72591136099798e-44
"C14H11orf65",1.90867089113034e-47,0.42228676402994,0.265,0.386,5.72601267339101e-44
"ABHD10",3.37181552176985e-47,6.34474995864334,0.297,0.42,1.01154465653095e-43
"MYB",3.67211991792309e-47,3.44438600126382,0.163,0.198,1.10163597537693e-43
"VWA3A",5.79843431196365e-47,2.28114711809732,0.266,0.382,1.73953029358909e-43
"CA8",6.51318748615531e-47,2.67609826692233,0.126,0.145,1.95395624584659e-43
"SEC14L1",7.38983134835156e-47,2.27031826233669,0.15,0.186,2.21694940450547e-43
"SLC38A6",7.95150828037925e-47,3.32641715970315,0.242,0.346,2.38545248411378e-43
"BORCS5",8.98821308561599e-47,0.916266867789588,0.323,0.445,2.6964639256848e-43
"LRRC29",1.12207801614966e-46,6.41498432134114,0.275,0.408,3.36623404844897e-43
"ZNF571",1.40984255556384e-46,3.65738615352471,0.262,0.38,4.22952766669151e-43
"GLO1",2.13095315232759e-46,2.20309452777648,0.253,0.384,6.39285945698278e-43
"INCENP",2.18336533344102e-46,4.83117834685653,0.239,0.298,6.55009600032306e-43
"SOBP",2.67474765688402e-46,7.15220026865288,0.131,0.224,8.02424297065207e-43
"RNF157",5.54390512529652e-46,3.49248603517763,0.293,0.41,1.66317153758896e-42
"HERPUD1",6.64097515676369e-46,4.34789816259521,0.202,0.235,1.99229254702911e-42
"MTMR8",8.59668709346268e-46,1.22915189549937,0.246,0.35,2.5790061280388e-42
"MTBP",1.12899997590769e-45,2.87515659155794,0.238,0.366,3.38699992772308e-42
"LOC106997853",1.25862908039819e-45,5.25121221234365,0.186,0.274,3.77588724119456e-42
"ETFDH",1.33410304751699e-45,-0.755935483946531,0.284,0.423,4.00230914255097e-42
"EOMES",1.3411712656487e-45,3.22723223765803,0.321,0.401,4.02351379694609e-42
"LOC712661",2.14226294735982e-45,-0.485900471897644,0.243,0.37,6.42678884207947e-42
"KCNK5",2.24429647222647e-45,2.86765916311824,0.317,0.395,6.73288941667941e-42
"HIST1H1D",2.43333048678965e-45,7.47944365681121,0.149,0.223,7.29999146036894e-42
"ALG14",2.51122002497457e-45,1.59092411890904,0.298,0.415,7.5336600749237e-42
"TMEM268",2.56495256391337e-45,2.86722842552085,0.087,0.11,7.6948576917401e-42
"TNFSF10",2.56833232494127e-45,4.67639014031245,0.309,0.437,7.70499697482381e-42
"LOC107000939",3.46726224117141e-45,-0.76226310950583,0.252,0.386,1.04017867235142e-41
"MCM8",6.96604008776595e-45,1.58965281571324,0.244,0.4,2.08981202632978e-41
"MOK",7.15315457724316e-45,4.75986020712892,0.293,0.443,2.14594637317295e-41
"TUBGCP4",8.6567324855864e-45,1.64211896031567,0.185,0.297,2.59701974567592e-41
"AXIN2",1.08388414324323e-44,1.08764906906294,0.111,0.19,3.25165242972968e-41
"ATPAF1",1.40009120060934e-44,2.05609052878031,0.278,0.395,4.20027360182801e-41
"LOC106993124",2.506134171997e-44,5.42796337728571,0.21,0.345,7.51840251599101e-41
"LOC114678832",2.51947134675713e-44,4.78028241973446,0.233,0.371,7.5584140402714e-41
"CCDC138",2.81532440230072e-44,6.81797293831502,0.269,0.395,8.44597320690216e-41
"CCDC14",3.73453430030886e-44,1.40286510662188,0.269,0.395,1.12036029009266e-40
"LAMA3",5.47853393051183e-44,5.19693103846612,0.341,0.491,1.64356017915355e-40
"LMTK3",6.47434960053522e-44,2.59486166541972,0.22,0.334,1.94230488016057e-40
"SLC7A9",7.95775234788377e-44,-0.771389034719981,0.279,0.424,2.38732570436513e-40
"ITGB3BP",8.1331567929307e-44,5.68433730541474,0.315,0.447,2.43994703787921e-40
"RUSC2",9.31001381598639e-44,6.4349933459384,0.228,0.365,2.79300414479592e-40
"PRKRA",9.81593531033437e-44,4.27728530261475,0.222,0.332,2.94478059310031e-40
"CA11",1.0682681610572e-43,9.03932943234143,0.226,0.354,3.20480448317159e-40
"IFT52",1.11880288734109e-43,0.834001323594261,0.293,0.42,3.35640866202326e-40
"SLC8B1",1.18177064200603e-43,5.19315692184101,0.221,0.324,3.5453119260181e-40
"MRRF",1.21824997791354e-43,1.01405596966816,0.251,0.366,3.65474993374062e-40
"TNF",1.35834306830139e-43,4.93581348469868,0.216,0.286,4.07502920490418e-40
"NEK3",1.50441835214741e-43,1.29591114880521,0.322,0.467,4.51325505644222e-40
"HIVEP3",1.58675137829618e-43,3.52708560294418,0.162,0.174,4.76025413488853e-40
"LOC106999081",1.74318876222256e-43,1.66613148507669,0.331,0.473,5.22956628666767e-40
"ATP7B",1.93231126001594e-43,0.755989568962467,0.354,0.49,5.79693378004783e-40
"LOC697977",1.98294351314629e-43,-2.7729327055954,0.213,0.295,5.94883053943886e-40
"LOC114678928",3.25410945233445e-43,5.0976957099886,0.308,0.458,9.76232835700335e-40
"PRDM8",3.53680607939383e-43,-2.56944950130581,0.278,0.391,1.06104182381815e-39
