"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LOC106996441",2.69057875881507e-41,3.62956011445216,0.212,0.262,8.07173627644521e-38
"PBX4",2.7765433409778e-41,-0.393473096979522,0.26,0.348,8.32963002293341e-38
"QSOX2",3.05905091495086e-41,0.269227819543658,0.102,0.109,9.17715274485257e-38
"COX10",3.21227539756638e-41,0.517947799733905,0.39,0.435,9.63682619269914e-38
"MBOAT1",3.41437991412781e-41,1.47304062907418,0.339,0.405,1.02431397423834e-37
"SEPTIN11",3.65738171072322e-41,2.36270787830918,0.255,0.282,1.09721451321697e-37
"TMPRSS13",4.22329689959494e-41,4.4333996611918,0.258,0.345,1.26698906987848e-37
"RHOXF1",4.64888238322463e-41,4.6326860021759,0.244,0.301,1.39466471496739e-37
"TSGA10",4.68594587292e-41,2.43134907294122,0.266,0.312,1.405783761876e-37
"KIFC1",4.88872269551721e-41,3.39372717746758,0.176,0.215,1.46661680865516e-37
"UCK2",5.3734421254664e-41,1.85152670571563,0.186,0.204,1.61203263763992e-37
"ZFYVE26",5.53138902552029e-41,1.11142168854673,0.229,0.252,1.65941670765609e-37
"LHPP",5.63939062065306e-41,3.33554874681704,0.269,0.334,1.69181718619592e-37
"IMPG2",6.08134407676977e-41,4.35139548017293,0.32,0.414,1.82440322303093e-37
"ARHGEF33",6.40537837186975e-41,6.89411668596329,0.249,0.323,1.92161351156093e-37
"PUS10",6.45913414875327e-41,1.92927943822406,0.299,0.357,1.93774024462598e-37
"FOSL2",7.18667465436262e-41,2.16458982526683,0.28,0.371,2.15600239630878e-37
"KLHDC1",7.21519795151429e-41,2.52394677863697,0.301,0.366,2.16455938545429e-37
"TBC1D2B",8.41863194042693e-41,5.35025820854707,0.369,0.418,2.52558958212808e-37
"TNFAIP3",8.59123250092417e-41,3.29426975736569,0.363,0.408,2.57736975027725e-37
"LTBP3",9.76507132588831e-41,1.29195042679949,0.322,0.385,2.92952139776649e-37
"GALNT6",1.01495406537106e-40,0.699349996655889,0.259,0.302,3.04486219611319e-37
"LOC106997195",1.03864101354727e-40,2.9228121158975,0.387,0.449,3.11592304064181e-37
"ABCD3",1.04813815057499e-40,1.61667069954189,0.338,0.39,3.14441445172497e-37
"C7H15orf41",1.09401555051416e-40,1.77691827561073,0.325,0.383,3.28204665154248e-37
"ATP11C",1.10305502973775e-40,8.22540848974097,0.272,0.302,3.30916508921324e-37
"BLVRB",1.20577147264488e-40,2.8011315025994,0.274,0.37,3.61731441793465e-37
"LY96",1.37943725497136e-40,3.4648401436352,0.281,0.365,4.13831176491407e-37
"SH3PXD2A",1.40333507047828e-40,2.97529824831507,0.154,0.22,4.21000521143485e-37
"TEX2",1.68799701561938e-40,2.73898040500665,0.238,0.29,5.06399104685814e-37
"IDH1",2.00464036309667e-40,0.256993925512556,0.111,0.133,6.01392108929e-37
"IRAK3",2.35461071524372e-40,4.07354676096432,0.188,0.213,7.06383214573117e-37
"PXK",2.41905310885537e-40,0.213726720087199,0.16,0.154,7.2571593265661e-37
"POC1A",2.44859929303803e-40,5.09326505023026,0.267,0.365,7.34579787911409e-37
"TRIO",2.45869727052832e-40,-0.34748742088636,0.173,0.196,7.37609181158495e-37
"LOC106993460",2.51358181577537e-40,4.06006755418834,0.255,0.343,7.54074544732612e-37
"FOXP4",2.53199316281825e-40,4.52554333462486,0.155,0.177,7.59597948845476e-37
"TFEB",2.57264532356473e-40,0.460391543180383,0.15,0.162,7.71793597069418e-37
"CDC42BPB",2.74862939973077e-40,2.7357401399043,0.222,0.261,8.24588819919231e-37
"ZNF133",2.79100631528009e-40,3.97387547715244,0.28,0.376,8.37301894584026e-37
"NINJ2",2.85440841830663e-40,5.63818520852824,0.223,0.254,8.56322525491988e-37
"PNPLA4",3.30326534141814e-40,4.85249202883919,0.213,0.289,9.90979602425443e-37
"CPNE2",3.51907171638453e-40,6.82173006655627,0.285,0.378,1.05572151491536e-36
"LOC100427033",3.80246499756042e-40,4.41254585930225,0.297,0.373,1.14073949926812e-36
"MVB12B",3.96231489143709e-40,-1.20904104540929,0.159,0.194,1.18869446743113e-36
"B4GALT5",4.64642203355075e-40,5.99978914885313,0.226,0.274,1.39392661006522e-36
"SCN9A",5.08820394305221e-40,3.08314253815851,0.129,0.15,1.52646118291566e-36
"SCCPDH",5.1689103988292e-40,6.83428979851917,0.315,0.399,1.55067311964876e-36
"PRORP",5.37230708760719e-40,3.533895030371,0.297,0.361,1.61169212628216e-36
"EFCAB7",5.8906315342379e-40,5.50080339853926,0.34,0.421,1.76718946027137e-36
"PITPNM2",6.18333272373839e-40,4.15178995663589,0.268,0.333,1.85499981712152e-36
"IFT74",6.80362097042529e-40,3.13955004723899,0.259,0.308,2.04108629112759e-36
"TSNARE1",7.17935852001889e-40,0.96879726711673,0.396,0.475,2.15380755600567e-36
"LOC106993436",7.3511222543681e-40,4.79732155255779,0.298,0.385,2.20533667631043e-36
"AMN1",7.93792248071947e-40,2.43776010420778,0.287,0.352,2.38137674421584e-36
"CLIC5",8.02720837580834e-40,2.95309769723084,0.232,0.274,2.4081625127425e-36
"INTS9",8.60405658149828e-40,2.7417966157481,0.333,0.399,2.58121697444948e-36
"SYNPO2",9.42728014524479e-40,2.67830987996973,0.277,0.37,2.82818404357344e-36
"KLF7",1.03106315334341e-39,1.64890529568674,0.306,0.375,3.09318946003022e-36
"HMG20A",1.18616590680298e-39,0.758987007184199,0.295,0.355,3.55849772040895e-36
"CHD9",1.30164221383069e-39,0.524368598477774,0.31,0.328,3.90492664149207e-36
"ALS2",1.32175457570168e-39,1.38924575487092,0.234,0.275,3.96526372710505e-36
"IFNLR1",1.41753252565331e-39,6.48661895066575,0.254,0.327,4.25259757695994e-36
"TTC3",1.4345453684559e-39,1.28068112984198,0.329,0.386,4.30363610536769e-36
"OXCT1",1.44865803420641e-39,4.8015266134542,0.359,0.398,4.34597410261922e-36
"SNTB1",1.53779631148523e-39,2.07182714811639,0.396,0.428,4.61338893445568e-36
"SPNS3",1.80021698589415e-39,1.47596041204771,0.294,0.361,5.40065095768245e-36
"LOC114670476",1.82281924925444e-39,4.7703156240155,0.321,0.408,5.46845774776333e-36
"GIMAP5",2.18193602359569e-39,1.09690056263053,0.372,0.431,6.54580807078707e-36
"PHGDH",2.18316363195948e-39,3.08610491316089,0.251,0.318,6.54949089587844e-36
"PATJ",2.34242103432928e-39,1.36754596796329,0.368,0.432,7.02726310298784e-36
"CASD1",2.43538170973494e-39,1.97097875311127,0.325,0.375,7.30614512920482e-36
"ERP27",2.60396247645208e-39,1.17723332218659,0.283,0.347,7.81188742935624e-36
"LOC114671322",2.69843901501656e-39,7.27497165874079,0.115,0.151,8.09531704504969e-36
"LOC703060",2.98881529251065e-39,5.82019995683066,0.207,0.251,8.96644587753196e-36
"IFNGR2",3.50314461119178e-39,2.9083874129703,0.167,0.199,1.05094338335753e-35
"MCC",3.55198230206959e-39,3.85665991191152,0.335,0.395,1.06559469062088e-35
"ECE1",4.36261929188868e-39,7.55086117101142,0.327,0.381,1.3087857875666e-35
"RAD51B",4.47485047746538e-39,-0.658660034954555,0.293,0.303,1.34245514323961e-35
"TMEM53",4.53599153764257e-39,4.5393272110401,0.303,0.39,1.36079746129277e-35
"C14H11orf49",4.61461497926794e-39,2.91019099623045,0.297,0.348,1.38438449378038e-35
"SYNJ1",4.93861615703645e-39,0.453686738531776,0.367,0.426,1.48158484711093e-35
"CHCHD6",5.11739045986868e-39,1.32750792921086,0.323,0.391,1.5352171379606e-35
"AFDN",5.19108487741435e-39,1.94481863811854,0.289,0.345,1.5573254632243e-35
"ITPKC",5.20775134213822e-39,6.05474971525018,0.272,0.365,1.56232540264146e-35
"DDX60L",5.22666450325331e-39,6.78966525356336,0.326,0.372,1.56799935097599e-35
"SGF29",5.6598250300681e-39,2.10184161121031,0.279,0.334,1.69794750902043e-35
"ELMO2",6.37877670931395e-39,5.8160956717744,0.303,0.365,1.91363301279418e-35
"NCALD",7.0955158615397e-39,3.26776676296889,0.33,0.364,2.12865475846191e-35
"LYRM4",7.55781653811212e-39,2.07796109407002,0.29,0.352,2.26734496143364e-35
"LOC114672751",7.75910338596076e-39,1.28652629371787,0.305,0.399,2.32773101578823e-35
"RGS9",9.35160283515257e-39,2.41479157099403,0.203,0.224,2.80548085054577e-35
"FGL2",9.41404806319548e-39,6.22941393631795,0.192,0.233,2.82421441895865e-35
"PDE6H",1.01735496482757e-38,3.39193701950676,0.251,0.319,3.05206489448272e-35
"LOC114675795",1.02049220765499e-38,0.833283988629001,0.285,0.36,3.06147662296497e-35
"TRIM62",1.16162322931017e-38,2.96279098213835,0.267,0.34,3.48486968793051e-35
"GOLGB1",1.21489538801563e-38,0.54584739686489,0.346,0.387,3.64468616404688e-35
"NEK6",1.27571901249005e-38,8.45700980852962,0.176,0.177,3.82715703747014e-35
"N4BP2L1",1.32999480713481e-38,0.791849793665921,0.363,0.421,3.98998442140444e-35
"RHOBTB1",1.33066800632583e-38,5.62519197312366,0.19,0.251,3.9920040189775e-35
"KIF1B",1.41208522542206e-38,1.97346351277651,0.289,0.34,4.23625567626617e-35
"LOC106993497",1.45716330994729e-38,5.04897836083376,0.29,0.38,4.37148992984187e-35
"TRIB2",1.49387574518031e-38,-0.214092272711722,0.383,0.449,4.48162723554092e-35
"AHDC1",1.55114590762624e-38,1.95279647237677,0.3,0.363,4.65343772287871e-35
"GALNT7",2.07310096783686e-38,0.561319354386813,0.352,0.389,6.21930290351057e-35
"ZC3H6",2.07443550747078e-38,1.40229371407234,0.359,0.419,6.22330652241233e-35
"C11H12orf75",2.09749200725156e-38,2.65207533636771,0.185,0.22,6.29247602175467e-35
"LOC107000924",2.10749297873223e-38,1.08084354614511,0.121,0.149,6.32247893619669e-35
"LOC106997734",2.18046192838409e-38,1.97765150734104,0.291,0.374,6.54138578515228e-35
"RGS10",2.19268089094708e-38,1.51524520267537,0.27,0.319,6.57804267284123e-35
"IL11RA",3.57627171461361e-38,4.98680461341661,0.28,0.348,1.07288151438408e-34
"STAT1",3.69872780375014e-38,2.8236751767468,0.401,0.44,1.10961834112504e-34
"MDFIC",3.99546544458653e-38,5.23010725326963,0.404,0.444,1.19863963337596e-34
"FNIP2",4.02743282651532e-38,2.19000850082665,0.26,0.35,1.2082298479546e-34
"ATP7A",4.10217351610652e-38,0.220713890564707,0.281,0.338,1.23065205483196e-34
"GZMK",4.19934805694374e-38,4.36497114276716,0.126,0.154,1.25980441708312e-34
"FAM219A",4.19971746573792e-38,2.05087345522244,0.289,0.352,1.25991523972138e-34
"TRAF1",4.36888581111274e-38,5.45294708358953,0.336,0.388,1.31066574333382e-34
"CSRP1",4.87979631111182e-38,4.45562377370089,0.288,0.39,1.46393889333355e-34
"DDX31",5.55373660683172e-38,0.860058891910221,0.3,0.349,1.66612098204952e-34
"SFXN2",5.59941935227037e-38,3.31498930800613,0.274,0.338,1.67982580568111e-34
"ERN1",5.69883825788079e-38,2.40365628699257,0.38,0.412,1.70965147736424e-34
"MCCC1",6.55943197717422e-38,1.40297278911996,0.304,0.353,1.96782959315227e-34
"LOC106994488",8.19926690479705e-38,3.40479743053893,0.238,0.342,2.45978007143911e-34
"NBEAL1",8.25456147550882e-38,2.28444207357936,0.402,0.453,2.47636844265265e-34
"CD96",8.39216639717582e-38,1.09667736513151,0.346,0.391,2.51764991915275e-34
"PLEKHA8",9.46259784135754e-38,6.30026200046816,0.291,0.36,2.83877935240726e-34
"SLC10A7",1.05857764859951e-37,1.51264618835283,0.361,0.41,3.17573294579853e-34
"SEL1L",1.16210251878109e-37,5.69639963287078,0.334,0.375,3.48630755634327e-34
"EHD4",1.16661089415187e-37,1.81021345973607,0.293,0.325,3.49983268245561e-34
"KIF16B",1.25194072038887e-37,1.93932301143547,0.362,0.401,3.75582216116662e-34
"DPY19L3",1.34347184679579e-37,2.57915489373242,0.187,0.219,4.03041554038736e-34
"ZFP36",1.47712923283558e-37,0.703005406511766,0.368,0.394,4.43138769850674e-34
"B4GALT1",1.85584809433064e-37,1.23675308893589,0.258,0.291,5.56754428299191e-34
"TMEM71",2.01981355807808e-37,1.71836684023365,0.368,0.441,6.05944067423423e-34
"ATP6V0A1",2.03267805114203e-37,1.29639214407037,0.2,0.235,6.0980341534261e-34
"DUSP6",2.10836327760605e-37,5.6636142572816,0.131,0.17,6.32508983281814e-34
"LOC100425941",2.22710487396882e-37,3.09267254726717,0.385,0.439,6.68131462190647e-34
"LOC106997818",2.49234945540538e-37,3.92160881070389,0.266,0.352,7.47704836621614e-34
"STIMATE",2.61193998825843e-37,2.14727519830028,0.296,0.358,7.83581996477528e-34
"RUFY3",2.66884371455024e-37,0.914296948418574,0.125,0.122,8.00653114365072e-34
"GLDN",2.86045505475061e-37,4.90043952528357,0.216,0.265,8.58136516425183e-34
"FAR2",3.20965981778274e-37,4.21264477303855,0.289,0.327,9.62897945334822e-34
"SLC9A7",3.21296883756832e-37,1.3812999187032,0.378,0.409,9.63890651270495e-34
"CDK6",3.85324879881182e-37,-0.749699704480054,0.418,0.455,1.15597463964355e-33
"AP1AR",3.99933092712178e-37,3.73784363114516,0.246,0.304,1.19979927813653e-33
"GNAQ",4.06053150576336e-37,1.96815652194956,0.363,0.398,1.21815945172901e-33
"ABCG2",5.40832331385844e-37,2.70928240608887,0.346,0.405,1.62249699415753e-33
"WDR63",5.54768473391047e-37,3.53744914622997,0.171,0.206,1.66430542017314e-33
"NEK1",5.63052834013474e-37,1.11327121317756,0.336,0.386,1.68915850204042e-33
"IL4R",6.03378326193854e-37,2.00569009855854,0.328,0.353,1.81013497858156e-33
"HSPA5",6.92934053926504e-37,-0.789904080749785,0.392,0.415,2.07880216177951e-33
"POMT2",7.0270294339753e-37,6.11267535895709,0.212,0.271,2.10810883019259e-33
"DAPK2",7.23126545280398e-37,2.86671129762485,0.246,0.279,2.16937963584119e-33
"ANKRD6",7.28965273066181e-37,4.0210477054376,0.359,0.435,2.18689581919854e-33
"ABAT",9.09863565407652e-37,3.73693265333704,0.366,0.456,2.72959069622295e-33
"AMMECR1",9.5734191720143e-37,0.641420154088901,0.357,0.404,2.87202575160429e-33
"L3MBTL3",1.0551832297478e-36,0.20867474347506,0.378,0.411,3.16554968924339e-33
"LOC100423510",1.17081844988834e-36,6.19387399417436,0.223,0.313,3.51245534966501e-33
"BBS1",1.17829773198986e-36,6.506591306622,0.275,0.342,3.53489319596957e-33
"OXNAD1",1.26297732088814e-36,1.44342814445072,0.301,0.345,3.78893196266441e-33
"UST",1.36029853941628e-36,-0.823055368770373,0.227,0.262,4.08089561824885e-33
"PREP",1.40479668070967e-36,2.15038826982043,0.394,0.454,4.214390042129e-33
"HS2ST1",1.49746039911578e-36,1.37632048605561,0.381,0.426,4.49238119734733e-33
"ADK",1.67750303019308e-36,-1.1352571780896,0.306,0.322,5.03250909057924e-33
"GPR183",1.73791269930531e-36,3.93299974949759,0.282,0.308,5.21373809791593e-33
"PSAP",1.83306554846101e-36,5.48344348507547,0.168,0.178,5.49919664538302e-33
"EDAR",1.83572431467524e-36,2.14815232336725,0.262,0.337,5.50717294402573e-33
"LOC106997133",1.91576444792991e-36,3.990339387869,0.27,0.329,5.74729334378972e-33
