"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LOC106993842",3.8445582626143e-65,6.73723950985818,0.242,0.37,1.15336747878429e-61
"SOX4",5.23124573680123e-60,2.76169390283407,0.195,0.294,1.56937372104037e-56
"ADI1",1.98845028932697e-57,7.22962748450518,0.239,0.363,5.96535086798091e-54
"EGR3",4.21855726906311e-56,2.64671599060425,0.16,0.184,1.26556718071893e-52
"CD4",3.34579306860911e-55,0.534118245344454,0.952,0.928,1.00373792058273e-51
"SPRED1",1.31079121770117e-54,0.428985193777463,0.147,0.195,3.9323736531035e-51
"WDHD1",2.28258673892184e-53,1.964187247599,0.291,0.419,6.84776021676551e-50
"RIBC1",8.76237687234363e-53,1.23565659239552,0.305,0.433,2.62871306170309e-49
"ZNF711",4.46294642003768e-52,2.37852875991016,0.309,0.427,1.3388839260113e-48
"EGR2",8.49096754801996e-52,-2.51877616410466,0.252,0.333,2.54729026440599e-48
"SMYD2",1.22347155624472e-51,2.94477463504237,0.265,0.362,3.67041466873415e-48
"LOC114675108",2.19893257637603e-50,6.09525608908508,0.332,0.465,6.59679772912808e-47
"ITGB3BP",9.7923389327105e-50,3.91390805274156,0.284,0.388,2.93770167981315e-46
"KCTD3",2.63776248912326e-49,2.84887666291982,0.303,0.417,7.91328746736978e-46
"NUP37",4.10244521636782e-49,4.47379726982813,0.315,0.422,1.23073356491035e-45
"LOC106997781",5.55689517841434e-49,4.0798901120119,0.178,0.262,1.6670685535243e-45
"TRIM9",6.31574898224069e-49,4.25920724985397,0.232,0.294,1.89472469467221e-45
"LOC107000766",2.53058240683418e-48,-2.51486608399111,0.256,0.366,7.59174722050254e-45
"PEMT",3.95539570845338e-48,4.39549334687105,0.257,0.363,1.18661871253601e-44
"CCT6B",5.9650656716479e-48,4.08234416580001,0.302,0.45,1.78951970149437e-44
"NR4A1",3.98476250773407e-47,7.62275362668467,0.179,0.23,1.19542875232022e-43
"DHX32",1.35997706905725e-46,1.63422262176613,0.26,0.375,4.07993120717176e-43
"LOC114670883",1.96705224090112e-46,6.50362457798253,0.339,0.457,5.90115672270336e-43
"IFIT3",1.78062062000805e-45,2.49987124286621,0.265,0.362,5.34186186002416e-42
"DHRS7",1.78219067508867e-45,3.30802401215686,0.294,0.396,5.34657202526602e-42
"STX2",2.02758861871264e-45,1.95023586559812,0.33,0.442,6.08276585613792e-42
"ZNF571",4.82679951806418e-45,2.08389886490149,0.343,0.463,1.44803985541925e-41
