Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
LOC106997571	.	0.02739863054106461E0	0.04912539189244768E0	1.000660465280045E0	9.525354605154976E-4	1.000660465280045E0	1.012915437322157E0	1.012246883400836E0	0.01561252999506346E0	0.01780935880356544E0
NMT2	NMT2	0.02728119204623882E0	0.04892227714138098E0	0.9974736633655258E0	-0.003649345014586751E0	-1.002532735176135E0	1.028143847530691E0	1.030747863619459E0	0.03132029549845051E0	0.03781377993545521E0
LOC106994156	.	0.02728292552334466E0	0.04892227714138098E0	1.001937099113931E0	0.002791940025288143E0	1.001937099113931E0	1.003132896503098E0	1.001193485489483E0	0.004239123888424857E0	0.002060810709209329E0
HPGDS	HPGDS	0.02727217718600882E0	0.04891168840374768E0	0.998605097839306E0	-0.002013823299755983E0	-1.001396850630657E0	1.003644420056865E0	1.005046361397977E0	0.004828192245363449E0	0.00818691816363334E0
FMN1	FMN1	0.02723624378292424E0	0.048851580847838E0	1.002155676678107E0	0.003106636802748947E0	1.002155676678107E0	1.006816796629363E0	1.004651093697045E0	0.00691199525419515E0	0.006364634623540562E0
ACCS	.	0.02720496731278642E0	0.04879981614419716E0	0.9963098750319902E0	-0.005333571828368088E0	-1.003703792424913E0	1.037377108065134E0	1.041219337539764E0	0.04380500139602542E0	0.05197622517880516E0
MTMR8	MTMR8	0.0271890437402762E0	0.04877558446274968E0	0.9959809673728864E0	-0.005809921408369701E0	-1.004035250430251E0	1.105503473083668E0	1.109964456449073E0	0.09486483066150855E0	0.1046225534298718E0
GNG10	.	0.02718036076692863E0	0.04876433884974458E0	0.9996920938253072E0	-4.442831135559662E-4	-1.000308001010106E0	1.01674238929283E0	1.017055546975749E0	0.02012117554316377E0	0.02306038366698887E0
LOC710625	.	0.02717158451603627E0	0.04875292387446928E0	1.000019618315864E0	2.830296937963759E-5	1.000019618315864E0	1.000395476377678E0	1.000375850688257E0	3.807388503199896E-4	5.916039764548649E-4
NEIL2	NEIL2	0.02710966651143309E0	0.0486465245391448E0	1.001108286677582E0	0.001598034317039741E0	1.001108286677582E0	1.023351605926492E0	1.02221869456573E0	0.02528378934107119E0	0.02756601406982399E0
ZNF213	ZNF213	0.02710987623589533E0	0.0486465245391448E0	0.9988232696609091E0	-0.001698662654737056E0	-1.001178116664713E0	1.011153114589086E0	1.01234437092396E0	0.01351413695895648E0	0.01737230170064959E0
BTBD16	BTBD16	0.02706627715877451E0	0.04857692074399569E0	0.9998323012668857E0	-2.419584192546235E-4	-1.000167726860696E0	1.000077858119142E0	1.000245598038737E0	3.328556293925297E-4	5.33280096580727E-4
LOC114670953	.	0.02705569211537927E0	0.04856223845609442E0	1.0009442293072E0	0.001361592212438721E0	1.0009442293072E0	1.004723497097058E0	1.003775702660751E0	0.006031113801566414E0	0.006493326717555735E0
MEX3B	MEX3B	0.02699473346340563E0	0.04845712997634794E0	1.000839957228668E0	0.001211293482187395E0	1.000839957228668E0	1.001045404950203E0	1.000205275299063E0	0.001308213805390447E0	2.791849786216891E-4
LOC114673691	.	0.02696120620560549E0	0.04840124815045949E0	0.99958248266123E0	-6.024759749654046E-4	-1.000417691732311E0	1.005051363114104E0	1.005471164759025E0	0.005413679755469439E0	0.007799791093196575E0
SETSIP	SETSIP	0.02694920344886252E0	0.04838400100090001E0	1.000155985566871E0	2.250220541348021E-4	1.000155985566871E0	1.000617064353027E0	1.000461006875737E0	0.001080715873112226E0	0.001188497583805044E0
LOC106997152	.	0.02691602043972021E0	0.04833248246428631E0	1.001765471046728E0	0.002544790607281872E0	1.001765471046728E0	1.004728435921836E0	1.002957743065363E0	0.006471234641062185E0	0.005227094725128358E0
SYNGR2	SYNGR2	0.02691811541938591E0	0.04833248246428631E0	1.004416713278049E0	0.006357940056923419E0	1.004416713278049E0	1.02218112126141E0	1.017686292699556E0	0.02817177860724603E0	0.02564355676695768E0
DDR1	DDR1	0.0268779143300758E0	0.04826888180304713E0	0.9996288224229376E0	-5.355954563793435E-4	-1.000371315401013E0	1.00717465464831E0	1.007548634109091E0	0.008886627948242127E0	0.0110262280872005E0
