Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
LOC114670945	.	0.01571684367920557E0	0.02966405173448049E0	0.9970254729241677E0	-0.004297730492664908E0	-1.002983401283729E0	1.008499779321472E0	1.01150853885774E0	0.01075959921953389E0	0.01689316950020234E0
SV2B	SV2B	0.01571762955056987E0	0.02966405173448049E0	1.000038294173365E0	5.52457562194309E-5	1.000038294173365E0	1.000647020207868E0	1.000608702724736E0	8.345586997224315E-4	0.001428151578189355E0
CCDC112	CCDC112	0.01571301708459962E0	0.02966088963315356E0	1.003388678005416E0	0.004880564285612914E0	1.003388678005416E0	1.056587395946938E0	1.053019053441257E0	0.05456450767925992E0	0.05662128181366918E0
LOC114678366	.	0.01569276555286491E0	0.02962543028664038E0	1.001420043074761E0	0.002047235864031959E0	1.001420043074761E0	1.003502936215902E0	1.002079939537405E0	0.004557234299136004E0	0.00376454574476408E0
KRBA1	KRBA1	0.01568811782958848E0	0.02961942455805086E0	0.9966147617172283E0	-0.00489215171227672E0	-1.00339673704706E0	1.018399643713145E0	1.021858879511658E0	0.02285486379857525E0	0.03006878112581359E0
PRSS16	PRSS16	0.0156771856668263E0	0.02960155147224058E0	0.9989202165636845E0	-0.001558639857077759E0	-1.0010809506289E0	1.007647481952307E0	1.008736699131633E0	0.009749231245868533E0	0.01349578910406287E0
WDR12	WDR12	0.01566361262894489E0	0.02957868809643126E0	0.9901137702796882E0	-0.01433378546498561E0	-1.009984943162157E0	1.052235551792801E0	1.062742063970653E0	0.05778328616095556E0	0.07251818279052154E0
LOC716368	.	0.01563957488411151E0	0.02953699934290872E0	0.9999413246353788E0	-8.465314111264868E-5	-1.000058678807622E0	1.001062039843642E0	1.001120780970495E0	0.001281078091337716E0	0.002796547272851491E0
FXYD1	FXYD1	0.01564007366929442E0	0.02953699934290872E0	0.9974088431528557E0	-0.003743100711070951E0	-1.002597888383417E0	1.002724196302447E0	1.005329161843792E0	0.003652100653213289E0	0.00828136088346574E0
PRELID2	PRELID2	0.01563359154261245E0	0.02953027980713422E0	0.9915790601278589E0	-0.01220028954650479E0	-1.008492454319331E0	1.029149074366222E0	1.037889075868059E0	0.03137517405374692E0	0.04249960734357285E0
AGBL2	AGBL2	0.01555751704066089E0	0.02938933119970713E0	0.9948419875928841E0	-0.007460696687472488E0	-1.005184755440003E0	1.017980237503975E0	1.023258216078189E0	0.0229428642762845E0	0.03224643168363601E0
IRF4	IRF4	0.01553121758253862E0	0.02934239385764803E0	1.003693214956872E0	0.005318367999098631E0	1.003693214956872E0	1.056463515990492E0	1.052576126098339E0	0.05962758926520288E0	0.0625108157032514E0
JCHAIN	JCHAIN	0.0154953373309863E0	0.02927734550152116E0	0.9993336766626839E0	-9.616217854839801E-4	-1.000666767620142E0	1.014548924730807E0	1.015225393102867E0	0.01461649657157081E0	0.01965209009576806E0
SGCZ	SGCZ	0.01548240610062512E0	0.02925564958559511E0	1.001313807974711E0	0.001894180227533596E0	1.001313807974711E0	1.025690546156186E0	1.024344753849725E0	0.02147304102127857E0	0.02506922446477131E0
ERP29	ERP29	0.01545998095320057E0	0.02921600816736013E0	0.9963770149119213E0	-0.005236353974074993E0	-1.003636158837324E0	1.025589957578314E0	1.029319165566034E0	0.03015121596673954E0	0.03780845781009515E0
PLEKHG7	PLEKHG7	0.01543306949948376E0	0.02916788039211873E0	1.001705993275857E0	0.002459131004305899E0	1.001705993275857E0	1.006029780786292E0	1.004316423720592E0	0.00672925100065151E0	0.006013918496022089E0
PALMD	PALMD	0.01541105876195103E0	0.02912900663240566E0	0.999703103097933E0	-4.283952860313399E-4	-1.000296985076016E0	1.000488685303763E0	1.000785815512022E0	8.957393039584563E-4	0.001781161735626089E0
LOC114676695	.	0.01532475159745751E0	0.02896858519096366E0	0.9998660171319161E0	-1.933093697097556E-4	-1.000134000821898E0	1.000154211129267E0	1.000288232615584E0	2.069006387114037E-4	9.524567113632974E-4
LOC693947	.	0.01532262329161315E0	0.02896727304792234E0	1.001202005275421E0	0.001733085669454656E0	1.001202005275421E0	1.005575147798097E0	1.004367892293097E0	0.006338182814650026E0	0.006741476285976695E0
CACTIN	CACTIN	0.01531784072648756E0	0.02896094233769501E0	1.002411315321276E0	0.003474605153251614E0	1.002411315321276E0	1.041921212663213E0	1.03941485569651E0	0.05098979106670947E0	0.05297328979337632E0
LOC712630	.	0.01528553522299537E0	0.02890256884797421E0	1.000035829829533E0	5.169059135660645E-5	1.000035829829533E0	1.000539234970138E0	1.00050338710433E0	8.018038803433328E-4	0.001248412963528658E0
ZNF232	.	0.01528170253333716E0	0.02889802712932722E0	0.9936438637149136E0	-0.009199233157479187E0	-1.006396795187083E0	1.023266110859846E0	1.0298117345929E0	0.02799150348130208E0	0.03814284558569431E0
FAM83G	FAM83G	0.01524442734363307E0	0.02883023815418545E0	0.9952397416126276E0	-0.006883999006168922E0	-1.004783026830961E0	1.013544747432281E0	1.01839255915363E0	0.01775435597977022E0	0.02586407416261217E0
TCTN2	TCTN2	0.01524175553033247E0	0.02882788446499254E0	0.9960494576331052E0	-0.005710715535241163E0	-1.003966211051691E0	1.013641273714508E0	1.017661588936764E0	0.01605557500364046E0	0.02308989732174689E0
NXN	NXN	0.01521800420290619E0	0.02878565732256034E0	0.9883289817115732E0	-0.0169367481356657E0	-1.011808839469844E0	1.072118786428871E0	1.084779265070414E0	0.06656864246173838E0	0.08176325829317015E0
UBAC1	UBAC1	0.01521490312154904E0	0.02878248695785778E0	0.9976887092587993E0	-0.003338347123640648E0	-1.00231664518176E0	1.041599066261462E0	1.044012081719643E0	0.04819174940464431E0	0.05535125466684886E0
FHL2	FHL2	0.01520996724716228E0	0.02877764811859709E0	0.9952808156706598E0	-0.006824459465495647E0	-1.004741560627952E0	1.015081662076571E0	1.019894733319629E0	0.02044673516283428E0	0.02815328939472484E0
IKZF2	IKZF2	0.01521092045322025E0	0.02877764811859709E0	1.040454448741946E0	0.0572138050418964E0	1.040454448741946E0	1.76672053054789E0	1.698027753818633E0	0.3481628997037093E0	0.3404475072424477E0
LOC114678418	.	0.01517708547145614E0	0.02871901558482959E0	0.9979643304193235E0	-0.002939843700375443E0	-1.00203982198424E0	1.001354032344975E0	1.003396616314159E0	0.001900646015016193E0	0.005167089899158085E0
MECR	MECR	0.0151364759061443E0	0.02864485527520872E0	0.9971519748455029E0	-0.004114693927867545E0	-1.002856159568794E0	1.024374190514784E0	1.027299966661049E0	0.0267136738024198E0	0.03380645854360868E0
TTC9B	TTC9B	0.01512721297988319E0	0.028630008224108E0	0.9998267788107345E0	-2.499269976811677E-4	-1.000173251200045E0	1.000515004409708E0	1.000688344834885E0	9.648686192731144E-4	0.001065690416813608E0
LOC114670875	.	0.01511517709468558E0	0.02860990975151901E0	0.9982422969626821E0	-0.002538060687807992E0	-1.001760797997306E0	1.000800056896577E0	1.002562263632464E0	0.001435508827108411E0	0.003428548143188973E0
KCNMA1	KCNMA1	0.01509251644767838E0	0.02856969514622381E0	0.9989730180315236E0	-0.001482383113722436E0	-1.001028037744703E0	1.003474360004393E0	1.00450596952232E0	0.003581194110078292E0	0.006747749556035516E0
LOC106996371	.	0.01502971181106416E0	0.02845347447369705E0	0.9993663002066305E0	-9.145253471822068E-4	-1.000634101623437E0	1.000417044726092E0	1.001051410798267E0	0.001462461240888849E0	0.002507555834619272E0
CELF5	.	0.01501702528003646E0	0.02843212191658946E0	1.001007097581855E0	0.001452203554368351E0	1.001007097581855E0	1.003111726169969E0	1.002102511154215E0	0.003409826335659967E0	0.003591753462005861E0
TMEM106A	TMEM106A	0.01494108681420692E0	0.02829099760695148E0	0.9960316241839305E0	-0.005736546038749959E0	-1.003984186565683E0	1.062654339128136E0	1.066888152270055E0	0.07050573312264628E0	0.08021794613671043E0
SSC5D	SSC5D	0.01491123482963231E0	0.02823711992208076E0	1.000756771430015E0	0.001091377479587955E0	1.000756771430015E0	1.001072918361805E0	1.000315907861746E0	0.001724327408135941E0	0.001491979658286922E0
LOC106993734	.	0.01489888057115873E0	0.02821637034939186E0	0.997224770710531E0	-0.004009375578409384E0	-1.002782952621094E0	1.002567940859909E0	1.00535803993875E0	0.002823019147441073E0	0.007604004766780073E0
RHBDL2	RHBDL2	0.01488897118730313E0	0.02820024756574913E0	1.000493444572203E0	7.117144558909915E-4	1.000493444572203E0	1.002032454998177E0	1.001538251384178E0	0.002718250450148369E0	0.003120682184862071E0
LOC107000722	.	0.01487754709779742E0	0.02818125258194808E0	0.9961260656098997E0	-0.005599759500515285E0	-1.003889000121414E0	1.009889965111571E0	1.013817427308505E0	0.0118402144168786E0	0.01824543465194619E0
LOC114674104	.	0.01481540248671909E0	0.02806616952042321E0	1.000352149275804E0	5.079545811848649E-4	1.000352149275804E0	1.00082125458258E0	1.000468940169834E0	0.001016927957524389E0	0.001234750262441178E0
LOC114670038	.	0.01480162695842946E0	0.02804270343367022E0	1.000273391459659E0	3.943665972980672E-4	1.000273391459659E0	1.001744852023548E0	1.001471058389089E0	0.002183961325025721E0	0.002675105812410812E0
LOC106998853	.	0.01478238098931305E0	0.02800886784447889E0	0.992101072553145E0	-0.01144098894937791E0	-1.007961817263767E0	1.015182119472509E0	1.023264813997192E0	0.01521265681242649E0	0.02411907943955173E0
CCNA2	CCNA2	0.01477084762487492E0	0.02798964070993748E0	0.9983322310951254E0	-0.00240809055631828E0	-1.001670555004565E0	1.023903316764347E0	1.025613803574358E0	0.02918931447781116E0	0.03520042070064477E0
LRRC39	LRRC39	0.01473740764567356E0	0.02792889469199799E0	0.9950226532283717E0	-0.007198723675091502E0	-1.005002244678027E0	1.027052191627696E0	1.032189757987322E0	0.02929912368304996E0	0.03799043816713529E0
ZBTB9	ZBTB9	0.01472960190200689E0	0.02791672133027449E0	1.000485506655658E0	7.002680657850249E-4	1.000485506655658E0	1.006107135247458E0	1.005618900578171E0	0.007391659807796344E0	0.009091759913859814E0
LOC114669995	.	0.01472168692214682E0	0.02790433863114879E0	0.9994091019234626E0	-8.527376900410193E-4	-1.000591247443515E0	1.000199307308689E0	1.00079067259214E0	1.033532432742618E-5	0.001331182712686084E0
LOC106997435	.	0.01472001408881129E0	0.02790378644446837E0	0.9994472506484602E0	-7.976692242093566E-4	-1.000553055052361E0	1.001809389361821E0	1.002363445106111E0	0.001890964809351467E0	0.003594143036078359E0
MICALL1	MICALL1	0.01471328905365066E0	0.02789365612029622E0	0.996457402053996E0	-0.00511996283761331E0	-1.003555192563878E0	1.062958995010018E0	1.066738018924786E0	0.07214594710474093E0	0.08137396473732733E0
LOC106992551	.	0.01471025279518445E0	0.0278905177843927E0	0.9982607006380789E0	-0.002511463290997845E0	-1.001742329795022E0	1.017290956983655E0	1.019063413328214E0	0.02051530611157771E0	0.02633777110992319E0
FAM81A	FAM81A	0.01469704570687624E0	0.02786809323953119E0	0.9945516364709376E0	-0.007881818100204684E0	-1.005478210813061E0	1.012875709405974E0	1.018424456069529E0	0.01484126715636024E0	0.02332224458718877E0
ARRDC5	ARRDC5	0.01468986336085931E0	0.02785708949043625E0	1.000241427228276E0	3.482638264762662E-4	1.000241427228276E0	1.02826842211443E0	1.028020230039679E0	0.03335148243109207E0	0.03664446573235672E0
EEF2KMT	EEF2KMT	0.01468181970587901E0	0.02784445018022011E0	0.9992049306118638E0	-0.001147498894520659E0	-1.00079570202646E0	1.023358373495746E0	1.024172661827331E0	0.02638388402848629E0	0.03100234311393453E0
EBI3	.	0.01467334664711761E0	0.02783099404436862E0	1.00173003197462E0	0.00249375203643127E0	1.00173003197462E0	1.001932016900972E0	1.000201636089471E0	0.003445163445953082E0	7.610892415413734E-4
ZNF696	ZNF696	0.01465802443473862E0	0.02780454334455772E0	1.003835286520237E0	0.005522565289557238E0	1.003835286520237E0	1.028738263373735E0	1.024807831710941E0	0.0339705559352013E0	0.03354791863103754E0
LOC100430605	.	0.01465268448040214E0	0.02779702462056564E0	0.9999426417813747E0	-8.275279086395716E-5	-1.000057361508779E0	1.000122212939786E0	1.000179581458884E0	2.183106290974233E-4	3.084421312244777E-4
LOC695041	.	0.0146511982414652E0	0.02779681590091248E0	0.992325411648304E0	-0.01111479606290015E0	-1.007733943181953E0	1.023180971204756E0	1.031094194700909E0	0.03335483965318313E0	0.04592942885632015E0
IGSF8	IGSF8	0.01464773567296506E0	0.02779285722147002E0	1.003466176583319E0	0.004991989198896135E0	1.003466176583319E0	1.01142604096497E0	1.007932369388625E0	0.01468286717705812E0	0.01231428781742368E0
AMIGO3	AMIGO3	0.01461854412925247E0	0.02774007462632857E0	1.001913543493042E0	0.002758021751419631E0	1.001913543493042E0	1.004655344537385E0	1.002736564509134E0	0.005877965638321065E0	0.004620741176491814E0
LOC106999053	.	0.0145913420214361E0	0.02769105761053897E0	1.003067897803294E0	0.004419265480206536E0	1.003067897803294E0	1.003894368361711E0	1.000823942786153E0	0.004519613244792396E0	0.001480539010014504E0
CYP3A5	.	0.01458733958901925E0	0.02768606324177889E0	1.001369310437728E0	0.001974146076784757E0	1.001369310437728E0	1.005575717673884E0	1.004200655235097E0	0.006619506243140898E0	0.006244737268173708E0
TIMM8A	TIMM8A	0.01458570048658546E0	0.02768555384156123E0	1.001675547855656E0	0.002415281686696093E0	1.001675547855656E0	1.003746144230179E0	1.002067132794602E0	0.004702112622526125E0	0.003745305951302343E0
ND4	ND4	0.0145768445069947E0	0.02767134448799614E0	1.00039390095658E0	5.681670632295281E-4	1.00039390095658E0	1.001157957404604E0	1.000763755603961E0	0.001408288475162152E0	0.00171838041817169E0
PHYHD1	PHYHD1	0.01456397122356844E0	0.02765019138615179E0	1.000441650754608E0	6.370266921706812E-4	1.000441650754608E0	1.011500922162225E0	1.011054389228272E0	0.01497369355185062E0	0.01705707862786145E0
UBR7	UBR7	0.01456433241693578E0	0.02765019138615179E0	0.9949093154649544E0	-0.007363062790173624E0	-1.005116732204549E0	1.047056806390842E0	1.052414315672094E0	0.05382127439727356E0	0.06419820520045057E0
C14H11orf54	.	0.01454691790715291E0	0.02762260103055237E0	0.994406674615263E0	-0.008092114866611901E0	-1.005624786646672E0	1.022520934565603E0	1.02827239666429E0	0.02673228255952987E0	0.03611614692335986E0
LOC107000914	.	0.01454706442033793E0	0.02762260103055237E0	0.9998462333205488E0	-2.218554833258948E-4	-1.000153790327279E0	1.010104976842388E0	1.010260321217363E0	0.01154864888619877E0	0.01409216105249494E0
C7H15orf41	.	0.01453651188920724E0	0.02760775431482913E0	0.9946078427478919E0	-0.007800287666976374E0	-1.005421390240812E0	1.308053143111704E0	1.315144609656233E0	0.2256778502859836E0	0.2399470286120455E0
LOC114679658	.	0.01453369502110668E0	0.02760546443528637E0	0.9955509502485752E0	-0.00643294288936449E0	-1.004468932253356E0	1.009910092113609E0	1.014423311897245E0	0.01226819677562056E0	0.01973150810544392E0
TSEN34	TSEN34	0.01453393943978786E0	0.02760546443528637E0	0.9936569645304245E0	-0.009180211898794265E0	-1.006383526403977E0	1.013339536919759E0	1.01980821660988E0	0.01835967434786037E0	0.0274423573709777E0
TMEM14C	.	0.01452046204914381E0	0.02758508616207871E0	0.9973511469494937E0	-0.003826557394486268E0	-1.002655888107822E0	1.033960856627207E0	1.036706940970277E0	0.04046421802290677E0	0.04751293477574388E0
AP3M2	AP3M2	0.01452047906105658E0	0.02758508616207871E0	1.000097155702846E0	1.401592421659968E-4	1.000097155702846E0	1.054207529715923E0	1.054105117392369E0	0.061092830429523E0	0.0666928573271785E0
LOC100429012	.	0.01449906748145934E0	0.02754959219101747E0	1.000137643398134E0	1.985637827151864E-4	1.000137643398134E0	1.007048359065132E0	1.006909764583521E0	0.008203227602530477E0	0.01017306350308452E0
LOC114670034	.	0.01447319433966422E0	0.02750301808942872E0	0.9996093739528015E0	-5.63664359294485E-4	-1.000390778695536E0	1.019739061658533E0	1.020137553958835E0	0.02270955027038427E0	0.02659757778845783E0
TXNRD1	TXNRD1	0.01447011282103638E0	0.02749974960098728E0	0.9904103154769611E0	-0.01390175407311404E0	-1.009682536998235E0	1.174039983243815E0	1.18540766881898E0	0.1729426704631674E0	0.1887956542789273E0
PARD6B	PARD6B	0.01445528974072985E0	0.02747606970494853E0	0.9929852158327019E0	-0.01015585669426068E0	-1.007064338980531E0	1.041752541018601E0	1.049111834102186E0	0.04695611868850125E0	0.05807564681819127E0
CMBL	CMBL	0.01445629234352352E0	0.02747606970494853E0	1.002395322995455E0	0.003451588420650747E0	1.002395322995455E0	1.008176180089793E0	1.005767043163233E0	0.00936400439800068E0	0.008334733369245988E0
RXYLT1	RXYLT1	0.01445045385216038E0	0.02747014276761745E0	0.9963136151192802E0	-0.005328156048204474E0	-1.003700024595447E0	1.034914147890908E0	1.03874335569228E0	0.03925897126233958E0	0.04759289389094186E0
TIMP2	TIMP2	0.01443794029514567E0	0.02744893807241644E0	0.9963147840765584E0	-0.005326463360426917E0	-1.003698846973206E0	1.00795957884744E0	1.011687867084774E0	0.009234505764060479E0	0.01698184947641707E0
LOC100424965	.	0.01440149154634186E0	0.02738222030057543E0	0.9996757702853599E0	-4.678404494069274E-4	-1.000324334873644E0	1.007813713368716E0	1.008140582502097E0	0.01022791757405983E0	0.01297000049341369E0
HIST2H2AB	.	0.0144000267938158E0	0.02738201291484576E0	0.9983475151363398E0	-0.002386003678833955E0	-1.001655220089805E0	1.006845206146576E0	1.008511756559114E0	0.009918191468617284E0	0.01503097783025488E0
LSM8	LSM8	0.01439833019270676E0	0.02738136458264674E0	1.001164201544975E0	0.001678610864333959E0	1.001164201544975E0	1.034314929901955E0	1.033112179106906E0	0.04179041584976957E0	0.04493265037874433E0
GCC1	GCC1	0.01439463715095612E0	0.02737691913135703E0	0.9973507244591214E0	-0.003827168538210144E0	-1.002656312845529E0	1.031249658772499E0	1.033988980488044E0	0.03897981599450631E0	0.04615570267376155E0
LOC114672983	.	0.01439325588128671E0	0.02737686997742056E0	1.001160717778654E0	0.001673590687691586E0	1.001160717778654E0	1.001638672120928E0	1.000477400215357E0	0.002382669304740091E0	0.001604268133765389E0
MIEN1	MIEN1	0.01438106354013302E0	0.02735625554564011E0	1.000149417317582E0	2.155475202336503E-4	1.000149417317582E0	1.021455486598284E0	1.02130288626058E0	0.02527929934565417E0	0.02909483988183188E0
TSSK4	TSSK4	0.0143729804392364E0	0.02734345473407712E0	0.9974211626328207E0	-0.003725281395539876E0	-1.002585504963994E0	1.001259653769251E0	1.003848415574318E0	0.002206117554094179E0	0.00643171665249832E0
BRMS1	BRMS1	0.01436577656925396E0	0.02733232433551163E0	0.9946079312505534E0	-0.007800159292415496E0	-1.005421300775942E0	1.043247604814064E0	1.048903363863543E0	0.05429257434941557E0	0.06486256215262781E0
LOC114674060	.	0.01433618123908119E0	0.02727858583767894E0	1.003016614554952E0	0.004345503794072604E0	1.003016614554952E0	1.005506083469304E0	1.002481981732134E0	0.006486413348614187E0	0.003873551351051017E0
RFXANK	RFXANK	0.01432576175003796E0	0.02726132804100873E0	0.9959310149474813E0	-0.005882280144164423E0	-1.004085609335837E0	1.032611464944379E0	1.036830311985848E0	0.04027951003994228E0	0.04939626556553962E0
WNT10A	WNT10A	0.01432347108796173E0	0.02726115866386718E0	0.9997916798623013E0	-3.005737384435877E-4	-1.000208363544021E0	1.023394596018602E0	1.02360783414356E0	0.02796881571063028E0	0.03207718089949056E0
LOC106998220	.	0.01432432304681762E0	0.02726115866386718E0	1.000527113653693E0	7.602638990259414E-4	1.000527113653693E0	1.015650917730562E0	1.015115836313161E0	0.01747481528289768E0	0.01988422471241363E0
ZMYND10	ZMYND10	0.01427145432354848E0	0.02716566152361061E0	1.002112188561966E0	0.00304403031127914E0	1.002112188561966E0	1.004632825338193E0	1.002515323937776E0	0.005446498425971689E0	0.004307619591561434E0
ZNF234	.	0.01423335634943002E0	0.02709569571590835E0	0.9995414454847728E0	-6.617060508418063E-4	-1.000458764883936E0	1.043535438449407E0	1.04401417586371E0	0.04842316431296469E0	0.05343810084741751E0
LOC711872	.	0.01421936079874342E0	0.02707160424290882E0	0.9952928299315332E0	-0.006807044470958288E0	-1.00472943231068E0	1.053908145409863E0	1.058892532645254E0	0.05313806468148678E0	0.06433807539230371E0
GUCD1	GUCD1	0.01420671852805045E0	0.0270500849198306E0	0.992186683548146E0	-0.01131650039409611E0	-1.007874845108698E0	1.043305852332305E0	1.05152172432042E0	0.05247265174802736E0	0.06502458635074249E0
PSMC3IP	PSMC3IP	0.01412539198464824E0	0.02689777197189828E0	1.005090997902899E0	0.007326124568498191E0	1.005090997902899E0	1.044946408409763E0	1.039653534446157E0	0.05137277601216465E0	0.05044836821302814E0
LOC114673539	.	0.01410483497547921E0	0.02686115942247116E0	0.9963218406606297E0	-0.005316245241660118E0	-1.00369173814049E0	1.010769399372403E0	1.014500895315306E0	0.01287863673338977E0	0.01986662152650007E0
CCDC115	CCDC115	0.0140872595825049E0	0.02683021867491127E0	0.9974467880232947E0	-0.003688216662761369E0	-1.00255974755482E0	1.028533470413029E0	1.031166256448969E0	0.034452096246578E0	0.04138671577970415E0
LOC114672403	.	0.01404312314542578E0	0.02674867986526875E0	1.000198070447223E0	2.857269558561625E-4	1.000198070447223E0	1.00037727517903E0	1.000179169243675E0	5.061364923357257E-4	2.967432394571624E-4
OST4	OST4	0.01401424760581281E0	0.02669619665587166E0	1.002492577484563E0	0.003591554918743885E0	1.002492577484563E0	1.025811507629724E0	1.023260950423866E0	0.0306460211413296E0	0.03152673949679408E0
LOC106996337	.	0.01400305793050939E0	0.02667739710247393E0	0.9993266046729324E0	-9.71831348999088E-4	-1.000673849093898E0	1.001941878614481E0	1.002617036241525E0	0.002432502258203631E0	0.005109017786630799E0
DBNDD2	DBNDD2	0.01398681251365109E0	0.02664896133862132E0	1.000397752740887E0	5.737218146275266E-4	1.000397752740887E0	1.009264571451924E0	1.00886329331183E0	0.01122376102538092E0	0.01325954323938854E0
LOC708622	.	0.01398506379261344E0	0.02664814325313266E0	1.003399259118998E0	0.004895777970934533E0	1.003399259118998E0	1.012502556202067E0	1.009072457449352E0	0.01567649311679156E0	0.01442564233126185E0
LOC100427657	.	0.01397811733641485E0	0.02663899809535002E0	0.9955472349495695E0	-0.006438326896532746E0	-1.004472680847389E0	1.009433890383583E0	1.013948766011807E0	0.01226385746786019E0	0.01953540733876287E0
LOC106994790	.	0.01397892526082556E0	0.02663899809535002E0	1.000227631339793E0	3.283652333787917E-4	1.000227631339793E0	1.000309421245299E0	1.000081771291797E0	5.358576429018773E-4	1.322366637751036E-4
DLGAP1	DLGAP1	0.01397894548037503E0	0.02663899809535002E0	0.9941657285511332E0	-0.008441724157165691E0	-1.005868509928792E0	1.101986919887503E0	1.108453941068261E0	0.08743569632050174E0	0.101952055872241E0
NOP10	NOP10	0.01390079816955669E0	0.02649757657877557E0	1.007001129506593E0	0.01006530154990738E0	1.007001129506593E0	1.031259805783114E0	1.024090018934147E0	0.03842108840631803E0	0.03376485056450432E0
CSTF2T	CSTF2T	0.01385607981116954E0	0.02641482775139239E0	0.99924142478526E0	-0.00109480800007282E0	-1.000759151087939E0	1.035955456882173E0	1.036741903594322E0	0.04433722561603343E0	0.04965983231001225E0
LOC705276	.	0.01385142274349727E0	0.02640844219116084E0	0.9985852963399683E0	-0.002042431012852155E0	-1.001416707881857E0	1.001158292116202E0	1.00257664095963E0	0.001166877911580593E0	0.004584339817783325E0
ZC3H10	ZC3H10	0.01383914918544405E0	0.02638753282805616E0	0.9979905397883444E0	-0.002901954941187741E0	-1.002013506272396E0	1.025531450137522E0	1.027596364144914E0	0.02971600696879672E0	0.03580554248832078E0
LOC100425513	.	0.01383053202716088E0	0.02637359194529791E0	1.002585246171612E0	0.003724908999836616E0	1.002585246171612E0	1.006519529720271E0	1.003924138684149E0	0.008194361654900718E0	0.006360551271937694E0
LOC712738	.	0.01382548681301133E0	0.02636646045219552E0	0.9999446755988542E0	-7.981844714738056E-5	-1.000055327462104E0	1.000278241121125E0	1.000333583977604E0	4.769600095957228E-4	0.001222047549204498E0
C19H19orf53	.	0.01382378026162112E0	0.02636569534695216E0	0.999199105072706E0	-0.001155910082952343E0	-1.000801536874111E0	1.023896978792756E0	1.024717669976549E0	0.02761916760901559E0	0.03239731493714537E0
ARHGEF39	ARHGEF39	0.01381982160684381E0	0.02636063432005207E0	0.9987330810868794E0	-0.001828936435035793E0	-1.001268526032743E0	1.012086658574552E0	1.013370516848346E0	0.01664936213076175E0	0.02167835594752315E0
LOC106997885	.	0.01381453952550971E0	0.02635304772726154E0	0.9981741455035382E0	-0.002636558947071888E0	-1.001829194339171E0	1.015365307877975E0	1.017222608351336E0	0.01882525508966725E0	0.02373556359188517E0
SYT11	SYT11	0.01379630206738838E0	0.02632074328488811E0	0.9981146264498996E0	-0.002722586424413569E0	-1.001888934897995E0	1.054285573101424E0	1.056277049912908E0	0.06447099690393931E0	0.07154576335698742E0
LOC114675007	.	0.01376383144988935E0	0.0262612759895017E0	1.000215668544674E0	3.111103927200658E-4	1.000215668544674E0	1.001024395544059E0	1.000808552620018E0	0.001349764871532979E0	0.001905797457955703E0
ARHGAP21	ARHGAP21	0.01376213687243865E0	0.02626052343405913E0	1.000001332368525E0	1.922200182566974E-6	1.000001332368525E0	1.016415757914574E0	1.016414403676015E0	0.02008808840800427E0	0.02353854413172866E0
MAMU-DPA	.	0.01373294125431302E0	0.02620728906411699E0	1.000541871096074E0	7.815430144400227E-4	1.000541871096074E0	1.022560112156604E0	1.022006316473702E0	0.03132500436437411E0	0.03504856773795578E0
ZCWPW1	ZCWPW1	0.01373064591459128E0	0.02620538469081684E0	0.9984579202139112E0	-0.002226467997245993E0	-1.0015444614689E0	1.00432440041055E0	1.005875540749261E0	0.004426964250560901E0	0.007987039060214248E0
L2HGDH	L2HGDH	0.01371749311288951E0	0.02618275617975264E0	0.99772750327653E0	-0.003282250619410806E0	-1.00227767272728E0	1.033297437218895E0	1.035650950610817E0	0.03434255841222156E0	0.04151667828589635E0
HRH4	HRH4	0.0136997247195071E0	0.02615131271945982E0	1.000737731047218E0	0.00106392852501379E0	1.000737731047218E0	1.003235021921961E0	1.002495449903873E0	0.003434784320638755E0	0.004131149572482424E0
LOC106996083	.	0.01369700733929868E0	0.02614859680899384E0	1.001367296403547E0	0.001971244410020547E0	1.001367296403547E0	1.002295855184069E0	1.000927290899011E0	0.002700640424779106E0	0.001780371857317424E0
LOC114677632	.	0.0136889969059556E0	0.0261363872678699E0	0.9990422890694095E0	-0.001382346860226195E0	-1.000958629020081E0	1.011737942631275E0	1.012707823983799E0	0.0153106574701604E0	0.02047069072350965E0
LOC106998430	.	0.01368931779912841E0	0.0261363872678699E0	0.9970536816453418E0	-0.004256913073700147E0	-1.00295502479846E0	1.004105119779659E0	1.007072275308869E0	0.005184615161965316E0	0.01048550374664491E0
GCH1	GCH1	0.01368617651138948E0	0.02613533073433343E0	0.9951598916912439E0	-0.006999753735751863E0	-1.00486364889619E0	1.048481091413747E0	1.053580535316677E0	0.05313451582250608E0	0.06222493224298846E0
LOC693573	.	0.01368274281352823E0	0.02613124426509486E0	1.000434945421188E0	6.273571790271318E-4	1.000434945421188E0	1.019783375839882E0	1.019340018566173E0	0.02250831189769574E0	0.02543511807215928E0
TBCB	TBCB	0.01366366467982883E0	0.02609727652039552E0	1.001976134682721E0	0.002848146472322548E0	1.001976134682721E0	1.02102260921874E0	1.019008910368958E0	0.02486476709833977E0	0.02587709166828727E0
LOC106994748	.	0.01365910764902666E0	0.02609103993711373E0	1.000431850904234E0	6.228946688079927E-4	1.000431850904234E0	1.001595900097913E0	1.001163546714977E0	0.002403172583055039E0	0.002378588075757471E0
