Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
MAPK1	MAPK1	0.0E0	0.0E0	0.9841457575595307E0	-1.016109648716857E0	1.774816087475139E0	1.803407751181391E0	0.5035845300645437E0	0.5577561119051156E0
VMP1	VMP1	0.0E0	0.0E0	1.022141338628507E0	1.022141338628507E0	1.770863973625391E0	1.732504015542027E0	0.4859898502129444E0	0.5128019937091375E0
BRD2	BRD2	0.0E0	0.0E0	1.003546721686865E0	1.003546721686865E0	2.399829136817281E0	2.391347692096887E0	0.6627210723308012E0	0.7042485921900101E0
MAPRE2	MAPRE2	0.0E0	0.0E0	1.020745591185455E0	1.020745591185455E0	2.35784993430559E0	2.309929089742404E0	0.6351799655922523E0	0.6680046713682426E0
JUN	JUN	0.0E0	0.0E0	1.136322341419836E0	1.136322341419836E0	3.858846946719318E0	3.395908718909535E0	0.7686409900811317E0	0.7750296264377132E0
MBTD1	MBTD1	0.0E0	0.0E0	1.001338118207996E0	1.001338118207996E0	1.698620840197682E0	1.696350922141614E0	0.4476515354466869E0	0.4879539096036918E0
MBTPS1	MBTPS1	0.0E0	0.0E0	0.9551396841969746E0	-1.046967282948505E0	1.721867947156447E0	1.802739406230506E0	0.4860253247068238E0	0.5561345781091539E0
MCL1	MCL1	0.0E0	0.0E0	1.030431339584997E0	1.030431339584997E0	2.153217261683308E0	2.089627109507858E0	0.5985525296466585E0	0.6256025573164556E0
MCM3AP	MCM3AP	0.0E0	0.0E0	0.9590625450695274E0	-1.042684864653436E0	1.339190328213756E0	1.39635348611875E0	0.2957639371293827E0	0.3614840276779158E0
IPO8	IPO8	0.0E0	0.0E0	0.977791873678441E0	-1.022712529035461E0	1.307540072652084E0	1.337237614517222E0	0.2640393216164583E0	0.3177896920257619E0
HSPH1	HSPH1	0.0E0	0.0E0	1.070072664737149E0	1.070072664737149E0	1.346438078131249E0	1.258267893855589E0	0.2761836122320016E0	0.2432301178548056E0
IL16	IL16	0.0E0	0.0E0	0.9500028043840293E0	-1.052628471605816E0	1.400488992447825E0	1.474194587621123E0	0.332135851868948E0	0.4069050351645097E0
VPS53	VPS53	0.0E0	0.0E0	0.9703749764579394E0	-1.030529459498428E0	1.692933258685432E0	1.744617596040011E0	0.4619658588565514E0	0.5220453533038774E0
