Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
SNRNP70	SNRNP70	0.0E0	0.0E0	0.9555797805595168E0	-1.046485097680148E0	1.753913597696452E0	1.835444442607911E0	0.5078746500625135E0	0.5783489703508633E0
RASGRP2	RASGRP2	0.0E0	0.0E0	0.9600158123770856E0	-1.041649509422048E0	1.437291448900152E0	1.497153932643348E0	0.336474415855515E0	0.4015837873319378E0
SNRK	SNRK	0.0E0	0.0E0	0.9385448810215562E0	-1.06547914779691E0	1.728568658209232E0	1.841753860857221E0	0.4764497184063531E0	0.5548894728798661E0
SLTM	SLTM	0.0E0	0.0E0	0.9702707764394388E0	-1.030640130860848E0	1.798538626701069E0	1.85364608558148E0	0.5160014652315963E0	0.5764917094311182E0
SRSF7	SRSF7	0.0E0	0.0E0	1.035978485119018E0	1.035978485119018E0	2.327051929679092E0	2.246235769473291E0	0.6511163555239217E0	0.6803731659209289E0
CD69	CD69	0.0E0	0.0E0	1.150620985024852E0	1.150620985024852E0	2.343646190521471E0	2.03685333487191E0	0.597337923936027E0	0.565991749430943E0
SLFN5	SLFN5	0.0E0	0.0E0	0.9643738009351323E0	-1.036942313271391E0	1.707338310321832E0	1.770411337041989E0	0.4691558477763583E0	0.5362893365486419E0
DPP8	DPP8	0.0E0	0.0E0	0.9661252204520956E0	-1.035062514496881E0	1.401735253615676E0	1.450883616266365E0	0.3378307458228635E0	0.3989669155487987E0
RESF1	RESF1	0.0E0	0.0E0	1.010518637908842E0	1.010518637908842E0	2.607627506476507E0	2.580484326219562E0	0.6939105404633974E0	0.7332098702445717E0
SPTSSB	.	0.0E0	0.0E0	1.000161128105724E0	1.000161128105724E0	1.000501440959694E0	1.000340258028838E0	8.526971270157471E-4	4.125970414580234E-4
SRSF11	SRSF11	0.0E0	0.0E0	1.011732244690809E0	1.011732244690809E0	2.296804564064978E0	2.2701703697967E0	0.6716821333068864E0	0.7054927517497475E0
SPTAN1	SPTAN1	0.0E0	0.0E0	0.963261534863463E0	-1.038139657618265E0	1.97643963822694E0	2.051820369332083E0	0.5671603579323248E0	0.6320247742670189E0
CCNL1	CCNL1	0.0E0	0.0E0	1.204502845941332E0	1.204502845941332E0	3.770379559010334E0	3.130237152792894E0	0.8211764465217732E0	0.807962262180876E0
AHCTF1	AHCTF1	0.0E0	0.0E0	0.9708171929883487E0	-1.030060043458668E0	1.79179383995789E0	1.845655240655997E0	0.514602818072385E0	0.5783509098780795E0
ZNF75D	ZNF75D	0.0E0	0.0E0	0.9668452185543247E0	-1.034291715788024E0	1.150009660453729E0	1.189445464883491E0	0.142867959875498E0	0.1960794246977217E0
ZC3H7A	ZC3H7A	0.0E0	0.0E0	0.968538317968788E0	-1.03248367302307E0	1.605817119217465E0	1.657979957452973E0	0.4436800968616804E0	0.5058306295452426E0
ZNF107	ZNF107	0.0E0	0.0E0	0.9817930584099327E0	-1.018544581706001E0	1.358626653322129E0	1.383821816302612E0	0.3058538172072754E0	0.3551748920818831E0
STRN3	STRN3	0.0E0	0.0E0	0.9712919668376752E0	-1.029556543390132E0	1.810725700538548E0	1.864244493274144E0	0.4995211410070284E0	0.5585392252052046E0
CEP120	CEP120	0.0E0	0.0E0	0.9756321744513788E0	-1.024976447258234E0	1.54354726910679E0	1.582099596064227E0	0.3964699913534965E0	0.4537648140854013E0
CCNI	CCNI	0.0E0	0.0E0	1.026772254679824E0	1.026772254679824E0	1.467336846227805E0	1.429077226755958E0	0.3787175098129397E0	0.3905028723306299E0
CDHR2	CDHR2	0.0E0	0.0E0	1.00012485983818E0	1.00012485983818E0	1.000516410073713E0	1.000391501352738E0	3.917834412095759E-4	8.614272559309077E-4
RBM33	RBM33	0.0E0	0.0E0	0.9252901718827149E0	-1.080742053020266E0	2.374338481416817E0	2.566047444971431E0	0.6708700572253503E0	0.7551566525478295E0
SRCAP	SRCAP	0.0E0	0.0E0	0.9667476734566599E0	-1.034396076097545E0	1.707583476716449E0	1.766317647924499E0	0.4871534907344036E0	0.549326888635171E0
STX17	STX17	0.0E0	0.0E0	0.947875452333668E0	-1.054990924744386E0	1.660776634075984E0	1.752104276977692E0	0.4574227727577722E0	0.5310534663824705E0
CHORDC1	CHORDC1	0.0E0	0.0E0	0.9993214294592665E0	-1.000679031311378E0	1.567883807392017E0	1.568948449589838E0	0.4201875429179281E0	0.4606883343218274E0
CD47	CD47	0.0E0	0.0E0	0.9281346543827806E0	-1.077429869984771E0	1.667980193214419E0	1.797131682712185E0	0.4612449489643433E0	0.5490254927490503E0
RBM12	.	1.110223024625158E-16	5.26776353911473E-15	0.9885853959736322E0	-1.011546401628891E0	1.313878974980318E0	1.329049549317196E0	0.2827537147142337E0	0.3230483375695414E0
AMN1	AMN1	1.110223024625158E-16	5.26776353911473E-15	0.9675136504379213E0	-1.033577148547077E0	1.165276343405603E0	1.204403000286528E0	0.1468182213866216E0	0.1971912656176322E0
KRT20	KRT20	1.110223024625158E-16	5.26776353911473E-15	1.000004119695765E0	1.000004119695765E0	1.000119364995292E0	1.000115244824753E0	1.377174481900186E-4	2.640735946510368E-4
ARHGAP12	ARHGAP12	1.110223024625158E-16	5.26776353911473E-15	0.9575419737088645E0	-1.044340642454223E0	1.63415574282367E0	1.706615258330729E0	0.4193481068999593E0	0.4848035733602945E0
ERO1A	ERO1A	1.110223024625158E-16	5.26776353911473E-15	0.9775478125772327E0	-1.022967866260755E0	1.343247936379891E0	1.374099475337699E0	0.2998166872358419E0	0.3512576929170906E0
PPP1CB	PPP1CB	1.110223024625158E-16	5.26776353911473E-15	0.9612046834642651E0	-1.040361139727194E0	1.72877548173591E0	1.798550830511201E0	0.47272899746151E0	0.5379147951149533E0
KTN1	KTN1	1.110223024625158E-16	5.26776353911473E-15	0.9879916652071318E0	-1.0121542875469E0	1.882687105956264E0	1.905569826402898E0	0.5367824830684974E0	0.5858844448987562E0
CTDSPL2	CTDSPL2	1.110223024625158E-16	5.26776353911473E-15	0.9886228298661562E0	-1.011508099742532E0	1.600258657963811E0	1.618674594213509E0	0.438139618439022E0	0.4842015082765139E0
UBASH3A	UBASH3A	1.110223024625158E-16	5.26776353911473E-15	0.9315653459194176E0	-1.073462000685567E0	2.05257235290803E0	2.203358424504535E0	0.5812706913714145E0	0.6586116153934676E0
LRRC37A	.	1.110223024625158E-16	5.26776353911473E-15	1.000359440441918E0	1.000359440441918E0	1.461883510896988E0	1.461358239645528E0	0.3450271897054752E0	0.3791748114968677E0
MTRR	MTRR	1.110223024625158E-16	5.26776353911473E-15	0.9866519709118932E0	-1.013528609359357E0	1.31421530239031E0	1.331994807830438E0	0.2735207596667882E0	0.3156772125434459E0
LOC714894	.	1.110223024625158E-16	5.26776353911473E-15	0.9999388599631973E0	-1.000061143775135E0	1.000295418234081E0	1.000356580072202E0	4.897548115163842E-4	7.653109966918716E-4
SPG11	SPG11	1.110223024625158E-16	5.26776353911473E-15	0.9454150513016457E0	-1.057736492160985E0	1.810748228007507E0	1.915294478879379E0	0.5146694955195514E0	0.5882848473367652E0
LOC716530	.	1.110223024625158E-16	5.26776353911473E-15	1.0003303011272E0	1.0003303011272E0	1.061011247034981E0	1.060660909540983E0	0.1100809311058455E0	0.129132057472198E0
TIA1	TIA1	1.110223024625158E-16	5.26776353911473E-15	0.9901801044167304E0	-1.009917282259528E0	1.422871947132506E0	1.436982969851383E0	0.3492068121020085E0	0.390719018810211E0
SPATA13	.	1.110223024625158E-16	5.26776353911473E-15	0.9666381324013334E0	-1.034513295596759E0	2.66494707031969E0	2.756923176307351E0	0.7102557954147997E0	0.7691335736419079E0
VPS39	VPS39	1.110223024625158E-16	5.26776353911473E-15	0.9678459640278967E0	-1.03322226590509E0	1.461364057493319E0	1.509913882795503E0	0.3646738516868941E0	0.4247339889643047E0
KIDINS220	KIDINS220	1.110223024625158E-16	5.26776353911473E-15	0.975134854558618E0	-1.025499186420361E0	1.606273663046544E0	1.647232334622684E0	0.4268905255626342E0	0.4818606031413651E0
CD52	CD52	1.110223024625158E-16	5.26776353911473E-15	1.041906395242168E0	1.041906395242168E0	1.1872658098199E0	1.139512930567958E0	0.1823781762010346E0	0.1613387948692907E0
RALY	RALY	1.110223024625158E-16	5.26776353911473E-15	0.971511492244908E0	-1.029323901963591E0	2.317695950995097E0	2.385659839843489E0	0.6492854406026344E0	0.7074588956483471E0
STK17B	STK17B	1.110223024625158E-16	5.26776353911473E-15	0.8982252171664135E0	-1.113306530353991E0	3.548841843401344E0	3.950948799452212E0	0.8243297808182288E0	0.8859706207151956E0
UBE3C	UBE3C	1.110223024625158E-16	5.26776353911473E-15	0.9547845437508538E0	-1.047356711569207E0	2.110416454245101E0	2.210358837559695E0	0.6016533098777397E0	0.6685701330431713E0
PRRC2A	PRRC2A	1.110223024625158E-16	5.26776353911473E-15	0.9909293063279455E0	-1.009153724301149E0	1.530766521657525E0	1.544778736366207E0	0.4008175830256768E0	0.4436566775227166E0
LOC100424899	.	1.110223024625158E-16	5.26776353911473E-15	0.9944361326170288E0	-1.00559499720543E0	1.753272842488344E0	1.763082399142423E0	0.492862245623357E0	0.5366493685161712E0
PRPF40A	PRPF40A	1.110223024625158E-16	5.26776353911473E-15	1.004430569231362E0	1.004430569231362E0	1.915828070287256E0	1.907377303095563E0	0.5534512497684411E0	0.5910388458374657E0
UBE2Z	UBE2Z	1.110223024625158E-16	5.26776353911473E-15	0.9641857356763259E0	-1.037144569763369E0	1.161408532743493E0	1.204548553011755E0	0.1664451889395119E0	0.2234164737068116E0
RPL31	RPL31	1.110223024625158E-16	5.26776353911473E-15	1.033022033258038E0	1.033022033258038E0	1.384545821623605E0	1.340286825496741E0	0.3232461123724847E0	0.3267481568163432E0
LPIN1	LPIN1	1.110223024625158E-16	5.26776353911473E-15	0.9591912166625264E0	-1.042544992727797E0	1.755989320591364E0	1.830697873466012E0	0.4876716035485162E0	0.5532819812374321E0
HSPA8	HSPA8	1.110223024625158E-16	5.26776353911473E-15	1.023508516503183E0	1.023508516503183E0	2.076810957223477E0	2.029109600688915E0	0.6012950289817727E0	0.6286800775091679E0
CAND1	CAND1	1.110223024625158E-16	5.26776353911473E-15	0.9830120655006629E0	-1.017281511687941E0	1.50248761691597E0	1.52845287422869E0	0.3860037919966376E0	0.435081756124391E0
USP4	USP4	1.110223024625158E-16	5.26776353911473E-15	0.9728237041450496E0	-1.027935478688643E0	1.518751767494159E0	1.561178825128331E0	0.4040554058802119E0	0.4605158878422264E0
MARCH6	.	1.110223024625158E-16	5.26776353911473E-15	0.9752196688790296E0	-1.02540999931785E0	2.052605320961691E0	2.104762020767144E0	0.5813256280633256E0	0.6380902919289407E0
LOC114669767	.	1.110223024625158E-16	5.26776353911473E-15	1.040696227054591E0	1.040696227054591E0	1.295530196696622E0	1.244868735964643E0	0.2621720134940982E0	0.2513197933784223E0
NUDCD3	NUDCD3	1.110223024625158E-16	5.26776353911473E-15	0.9643175815720428E0	-1.037002766629835E0	1.487021748796365E0	1.542045667540566E0	0.3699672062432238E0	0.4312000968265125E0
USP10	USP10	1.110223024625158E-16	5.26776353911473E-15	0.9673070871016433E0	-1.033797863506113E0	1.604970886270859E0	1.659215473216326E0	0.433973898202341E0	0.4947932005463177E0
COX1	COX1	1.110223024625158E-16	5.26776353911473E-15	1.006473821002072E0	1.006473821002072E0	1.195033842420732E0	1.187347169378856E0	0.2715695095169884E0	0.2920304009051992E0
NRDC	NRDC	1.110223024625158E-16	5.26776353911473E-15	0.9757364594230528E0	-1.024866899604524E0	1.534697803495673E0	1.572860979698484E0	0.3986442444187307E0	0.4531701977310076E0
SIN3A	SIN3A	1.110223024625158E-16	5.26776353911473E-15	1.006548589416466E0	1.006548589416466E0	1.709205507915791E0	1.698085443551892E0	0.478772389194821E0	0.5131365185802117E0
SARAF	SARAF	1.110223024625158E-16	5.26776353911473E-15	1.008615954876883E0	1.008615954876883E0	1.776758808103896E0	1.761581104793029E0	0.4916066166389207E0	0.5246160829913552E0
GLMN	GLMN	1.110223024625158E-16	5.26776353911473E-15	0.952821229301124E0	-1.049514818990211E0	1.475375159443792E0	1.548428093406306E0	0.3633316770295259E0	0.4320533647442832E0
RORA	RORA	1.110223024625158E-16	5.26776353911473E-15	1.022135054375202E0	1.022135054375202E0	2.069475124422958E0	2.024659183309159E0	0.4854823041044219E0	0.5183682492877322E0
ZNF652	ZNF652	1.110223024625158E-16	5.26776353911473E-15	0.9879713953600727E0	-1.012175053545496E0	1.330323530307978E0	1.346520290522311E0	0.2681471358570566E0	0.3089656584173722E0
BCLAF1	BCLAF1	1.110223024625158E-16	5.26776353911473E-15	1.015587116054078E0	1.015587116054078E0	3.197776818172062E0	3.148697701676817E0	0.7905636004241869E0	0.8253081299831588E0
SEPTIN7	SEPTIN7	1.110223024625158E-16	5.26776353911473E-15	1.007423855098237E0	1.007423855098237E0	2.455968675893258E0	2.437870280184868E0	0.6938318031961479E0	0.7323253669638945E0
CORO7	.	1.110223024625158E-16	5.26776353911473E-15	0.9772866910641554E0	-1.023241193340219E0	1.505583914313162E0	1.540575481155637E0	0.3932920010208566E0	0.447048121589621E0
YTHDC1	YTHDC1	1.110223024625158E-16	5.26776353911473E-15	1.018120290879224E0	1.018120290879224E0	2.151937018764257E0	2.113637296144934E0	0.6249758503055849E0	0.6539549230014226E0
TNKS2	TNKS2	1.110223024625158E-16	5.26776353911473E-15	0.9697431343958599E0	-1.03120090726189E0	1.701124594894741E0	1.754201225620972E0	0.4722139878310286E0	0.5321211477575221E0
STK38	STK38	1.110223024625158E-16	5.26776353911473E-15	0.9366434522442424E0	-1.067642118891615E0	1.903428710874666E0	2.032180662037363E0	0.5486978384202701E0	0.625197819206367E0
FRYL	FRYL	2.220446049250329E-16	1.009069371270427E-14	0.9490585202240199E0	-1.053675804695327E0	3.22855461200857E0	3.401849878810938E0	0.7912877451679314E0	0.8501607213172178E0
ARIH2	ARIH2	2.220446049250329E-16	1.009069371270427E-14	0.9735051871122988E0	-1.02721589287705E0	1.33568603537959E0	1.372037923435853E0	0.2985714568347508E0	0.3524480619917486E0
CNOT2	CNOT2	2.220446049250329E-16	1.009069371270427E-14	1.028543367844543E0	1.028543367844543E0	2.049874449464606E0	1.992987863759606E0	0.5967225015578361E0	0.6163981172120925E0
CDC37	.	2.220446049250329E-16	1.009069371270427E-14	0.9635769992738387E0	-1.037799782221462E0	1.197237821853455E0	1.242493150786813E0	0.1967257107651588E0	0.2546738876989266E0
MED23	MED23	2.220446049250329E-16	1.009069371270427E-14	1.003702800986987E0	1.003702800986987E0	1.423913091081252E0	1.41866007515477E0	0.345277857156121E0	0.3752098542878288E0
GHITM	GHITM	2.220446049250329E-16	1.009069371270427E-14	0.9972127184736569E0	-1.002795072179393E0	1.342931914480243E0	1.346685506113226E0	0.3005330531315515E0	0.3348324594778197E0
RLIM	RLIM	2.220446049250329E-16	1.009069371270427E-14	1.006192568855419E0	1.006192568855419E0	1.350740417933663E0	1.342427344171484E0	0.3014582175839772E0	0.3273359513389106E0
SMAD2	SMAD2	2.220446049250329E-16	1.009069371270427E-14	0.9745670990939909E0	-1.026096613490906E0	1.70279673702753E0	1.747233965327313E0	0.4613694843917284E0	0.5169445094393192E0
KANSL2	KANSL2	2.220446049250329E-16	1.009069371270427E-14	0.9781760196003034E0	-1.022310892888802E0	1.341114738059253E0	1.371036205331686E0	0.297625586319585E0	0.3473068509843333E0
ESF1	ESF1	2.220446049250329E-16	1.009069371270427E-14	0.9837353352681601E0	-1.016533577832097E0	1.245889859011586E0	1.266488875965774E0	0.2102458841243343E0	0.2520751213284059E0
CWF19L2	CWF19L2	2.220446049250329E-16	1.009069371270427E-14	0.9679114118095116E0	-1.033152401964658E0	1.878268333684049E0	1.94053744047983E0	0.5245285873710213E0	0.5850993941309957E0
NFKBIZ	.	2.220446049250329E-16	1.009069371270427E-14	1.057640018364115E0	1.057640018364115E0	2.027964642967973E0	1.917443182704725E0	0.516325734157566E0	0.523326644024005E0
DDX42	DDX42	2.220446049250329E-16	1.009069371270427E-14	0.9805954616278468E0	-1.019788525576022E0	1.359267800186822E0	1.386165705815482E0	0.3116290520703713E0	0.359981782321395E0
AXIN1	AXIN1	2.220446049250329E-16	1.009069371270427E-14	0.9764407731830196E0	-1.024127655730907E0	1.371349613331045E0	1.404437064688209E0	0.3192363141008139E0	0.3711969325296697E0
YBX1	YBX1	2.220446049250329E-16	1.009069371270427E-14	1.034155056542204E0	1.034155056542204E0	1.558307508079831E0	1.50684125965615E0	0.4186896218138076E0	0.4250050438083123E0
ZNHIT6	ZNHIT6	2.220446049250329E-16	1.009069371270427E-14	0.9840965425385592E0	-1.016160464724748E0	1.226077876878128E0	1.245891865157211E0	0.2026317713700752E0	0.2436928915081042E0
HDAC7	HDAC7	2.220446049250329E-16	1.009069371270427E-14	1.000476396357796E0	1.000476396357796E0	1.464754254720555E0	1.464056783401336E0	0.34933858090921E0	0.3840282924173786E0
RPS15A	.	2.220446049250329E-16	1.009069371270427E-14	1.037110400317029E0	1.037110400317029E0	1.231039964132423E0	1.186990279681037E0	0.2233708185664136E0	0.2114943794232156E0
EID1	EID1	2.220446049250329E-16	1.009069371270427E-14	0.9921342055780257E0	-1.007928155664577E0	1.12131519378784E0	1.130205155193246E0	0.1267085605152634E0	0.1561446420458487E0
CASP8AP2	CASP8AP2	3.330669073875446E-16	1.443054715270188E-14	0.9901507004909423E0	-1.009947273181925E0	1.294829814641055E0	1.30770984053139E0	0.2582453818828639E0	0.2967737777348708E0
TLN1	TLN1	3.330669073875446E-16	1.443054715270188E-14	1.008806179443313E0	1.008806179443313E0	2.11238311016266E0	2.093943468237209E0	0.6178345469229534E0	0.652332210583197E0
RIC1	RIC1	3.330669073875446E-16	1.443054715270188E-14	0.9710278497746754E0	-1.029836580106376E0	1.54660093475156E0	1.592746217433871E0	0.3904584991970095E0	0.4471444712948802E0
COL4A3BP	.	3.330669073875446E-16	1.443054715270188E-14	0.9782215431921993E0	-1.022263317506515E0	1.906618687669727E0	1.949066344877172E0	0.5345103319840119E0	0.5886098244870965E0
ELF4	ELF4	3.330669073875446E-16	1.443054715270188E-14	0.9789601721617915E0	-1.02149201615807E0	1.283157042646722E0	1.310734674540627E0	0.2551521153460051E0	0.3027272293797214E0
SLC20A1	SLC20A1	3.330669073875446E-16	1.443054715270188E-14	1.025841085986305E0	1.025841085986305E0	1.445461439034389E0	1.409050055393947E0	0.3539177566069683E0	0.3650371074858524E0
SETD7	SETD7	3.330669073875446E-16	1.443054715270188E-14	0.9950971592322142E0	-1.004926997049784E0	1.345998316087545E0	1.352630045819923E0	0.2776854541558343E0	0.3129880922649978E0
IRF2	IRF2	3.330669073875446E-16	1.443054715270188E-14	0.9600120315110359E0	-1.041653611805285E0	1.664458615145331E0	1.733789328166557E0	0.4420160758006076E0	0.505844829634458E0
DUSP11	DUSP11	3.330669073875446E-16	1.443054715270188E-14	0.9663116103045596E0	-1.03486286342438E0	1.270737183447553E0	1.315038720322366E0	0.2479141024959064E0	0.3051097362805151E0
JADE2	JADE2	3.330669073875446E-16	1.443054715270188E-14	0.9571587798972467E0	-1.044758739095882E0	1.625873672221838E0	1.698645727719678E0	0.4420558203284572E0	0.508070490813971E0
TAF15	TAF15	3.330669073875446E-16	1.443054715270188E-14	0.9628054128996637E0	-1.03863146862492E0	2.015016087356015E0	2.092859118113418E0	0.5911939173267798E0	0.6536898350824848E0
CRK	CRK	3.330669073875446E-16	1.443054715270188E-14	0.9844612427476133E0	-1.015784021328273E0	1.189620140223042E0	1.208397129888865E0	0.1881384282685756E0	0.2284712789589777E0
NUP210	NUP210	3.330669073875446E-16	1.443054715270188E-14	0.9176815677275126E0	-1.089702610543149E0	2.071903219569867E0	2.257758347158039E0	0.586147052440071E0	0.6666033374314694E0
NACA	NACA	3.330669073875446E-16	1.443054715270188E-14	1.037957042403163E0	1.037957042403163E0	1.431611813438165E0	1.379259213005174E0	0.3574659262165549E0	0.3550720627903355E0
ESCO1	ESCO1	3.330669073875446E-16	1.443054715270188E-14	0.9845246670749164E0	-1.015718583233736E0	1.625902936627062E0	1.651459827266411E0	0.4442322956419057E0	0.4924546173637674E0
NUMA1	NUMA1	3.330669073875446E-16	1.443054715270188E-14	0.9236312516635673E0	-1.082683157590092E0	1.698796806495007E0	1.839258690559979E0	0.4856372169171708E0	0.5678956567995359E0
HELZ	HELZ	3.330669073875446E-16	1.443054715270188E-14	1.005111908615899E0	1.005111908615899E0	2.364409978773973E0	2.352384802633481E0	0.6645283722900406E0	0.7026568421785657E0
DUSP10	DUSP10	3.330669073875446E-16	1.443054715270188E-14	1.057239531179073E0	1.057239531179073E0	1.518257993568007E0	1.436058668629982E0	0.3540440366892726E0	0.344940481689635E0
MYO1G	MYO1G	3.330669073875446E-16	1.443054715270188E-14	0.9816085967050647E0	-1.018735984339042E0	1.381352541892022E0	1.407233541483607E0	0.3150502403196499E0	0.3616937077308093E0
RCAN3	RCAN3	3.330669073875446E-16	1.443054715270188E-14	0.9822182495976998E0	-1.018103665259308E0	1.522339721991567E0	1.54989965072945E0	0.3724310015180029E0	0.4208442186853085E0
ANKRD10	ANKRD10	3.330669073875446E-16	1.443054715270188E-14	0.9454097871231241E0	-1.057742381790857E0	1.613470918433277E0	1.706636572213896E0	0.4466089370780363E0	0.5197133485983557E0
HSP90B1	HSP90B1	3.330669073875446E-16	1.443054715270188E-14	1.000470329057829E0	1.000470329057829E0	1.376024307586816E0	1.375377427617126E0	0.3093276462391183E0	0.3415401265703706E0
TRANK1	TRANK1	4.440892098500585E-16	1.880253486839275E-14	0.9606382141969493E0	-1.040974620019625E0	1.681895117578998E0	1.750810130934659E0	0.4591614208087837E0	0.5235732496664307E0
JAK2	JAK2	4.440892098500585E-16	1.880253486839275E-14	0.9613100736776723E0	-1.040247082998217E0	2.153408113366032E0	2.240076508433709E0	0.5906723122298945E0	0.6531726728038381E0
ZC3H11A	ZC3H11A	4.440892098500585E-16	1.880253486839275E-14	0.9915895162845652E0	-1.008481819923781E0	1.631453338225715E0	1.645291031654597E0	0.4587105472105203E0	0.5021289343371946E0
SFSWAP	SFSWAP	4.440892098500585E-16	1.880253486839275E-14	0.9535328154588655E0	-1.048731605024808E0	2.11935728762046E0	2.222636969867228E0	0.6163467955013395E0	0.683432488321432E0
POLK	POLK	4.440892098500585E-16	1.880253486839275E-14	0.9820590325304709E0	-1.01826872609002E0	1.365226080370454E0	1.390167021683693E0	0.297163466403823E0	0.3433833307508495E0
LOC712294	.	4.440892098500585E-16	1.880253486839275E-14	0.9336519530528541E0	-1.071062933816184E0	1.806797323320302E0	1.935193641926671E0	0.4971488703033402E0	0.5740678427929136E0
RPL27A	RPL27A	4.440892098500585E-16	1.880253486839275E-14	1.036566895570603E0	1.036566895570603E0	1.3693355433534E0	1.321029592209402E0	0.3160702030444235E0	0.313543267532633E0
DGKD	DGKD	4.440892098500585E-16	1.880253486839275E-14	0.9857353879707179E0	-1.014471035739772E0	1.50724693546281E0	1.529058359734553E0	0.3524270850637091E0	0.3973487789867781E0
LOC106994498	.	4.440892098500585E-16	1.880253486839275E-14	0.9767930389762428E0	-1.023758319416445E0	1.21517734165111E0	1.244047913081683E0	0.1920021066835429E0	0.2384115728924182E0
MAN1C1	MAN1C1	4.440892098500585E-16	1.880253486839275E-14	0.9361732994615514E0	-1.068178296235493E0	1.493083386490424E0	1.594879267918862E0	0.3191284234334659E0	0.3911017258344561E0
UBB	UBB	4.440892098500585E-16	1.880253486839275E-14	1.048831951298968E0	1.048831951298968E0	1.333816255100948E0	1.27171588684825E0	0.2961754178708811E0	0.2775132579291889E0
TXNDC15	TXNDC15	5.551115123125782E-16	2.274955997353151E-14	0.9813475702717857E0	-1.019006955632497E0	1.155916417021426E0	1.177886869074627E0	0.1589433470032615E0	0.1998156016605882E0
SELENOF	SELENOF	5.551115123125782E-16	2.274955997353151E-14	1.014439648407204E0	1.014439648407204E0	1.239169289149876E0	1.221530813681745E0	0.222253379230504E0	0.2352495305882907E0
PLAC8	PLAC8	5.551115123125782E-16	2.274955997353151E-14	0.9663921953473937E0	-1.034776568782745E0	1.13379117676131E0	1.173220543605219E0	0.1205066165839403E0	0.1711241745643822E0
PPP6R1	PPP6R1	5.551115123125782E-16	2.274955997353151E-14	0.9784247244854432E0	-1.022051032618686E0	1.454615328901262E0	1.486691098966503E0	0.3722148070435529E0	0.4234060681210651E0
APBB1	APBB1	5.551115123125782E-16	2.274955997353151E-14	0.9588486649473593E0	-1.042917445220513E0	1.213423226764157E0	1.265500251628106E0	0.202324121802039E0	0.2628674403258089E0
SUZ12	SUZ12	5.551115123125782E-16	2.274955997353151E-14	0.9759090793344427E0	-1.024685619978028E0	1.365094534395144E0	1.398792739305306E0	0.3071922739658525E0	0.3582673802083632E0
CDK12	CDK12	5.551115123125782E-16	2.274955997353151E-14	0.972977648632266E0	-1.027772838775608E0	1.736199781626067E0	1.784418978243414E0	0.4929811900792796E0	0.5500200240044577E0
FAM91A1	FAM91A1	5.551115123125782E-16	2.274955997353151E-14	0.9813259105759915E0	-1.019029447019337E0	1.373547409873549E0	1.399685257538285E0	0.3136414319839446E0	0.3606651398179627E0
KIF21B	KIF21B	5.551115123125782E-16	2.274955997353151E-14	0.9617405621404949E0	-1.039781453923866E0	1.450353509261768E0	1.508050680563782E0	0.3572880457788046E0	0.4201546209017293E0
ZNFX1	ZNFX1	5.551115123125782E-16	2.274955997353151E-14	1.008379114480682E0	1.008379114480682E0	1.43717972484305E0	1.425237496696073E0	0.3490979293087207E0	0.3756080434706111E0
RPLP0	.	5.551115123125782E-16	2.274955997353151E-14	1.012685104646436E0	1.012685104646436E0	1.154659570552934E0	1.14019606416159E0	0.1595367923502057E0	0.1679057051865993E0
RIN3	RIN3	5.551115123125782E-16	2.274955997353151E-14	0.964418917764253E0	-1.036893803699156E0	1.287790931282349E0	1.335302437106634E0	0.2235489992949933E0	0.279840394415662E0
TPM4	.	5.551115123125782E-16	2.274955997353151E-14	0.9852650561554579E0	-1.014955309490056E0	1.326715819695844E0	1.346557265384749E0	0.2805042859213913E0	0.3237667398457079E0
TBC1D1	TBC1D1	5.551115123125782E-16	2.274955997353151E-14	0.9182143061354998E0	-1.089070376401249E0	2.511910935898164E0	2.735647788445025E0	0.6441737573696362E0	0.7189584531454598E0
MTOR	MTOR	5.551115123125782E-16	2.274955997353151E-14	0.9955648718539765E0	-1.004454886136917E0	1.44590420019051E0	1.452345538767249E0	0.3446526549692887E0	0.3805894045863256E0
BTRC	BTRC	5.551115123125782E-16	2.274955997353151E-14	0.9753710288437294E0	-1.02525087420883E0	1.515373254429099E0	1.553637753856115E0	0.3720940384453012E0	0.4250426352868297E0
YY1	YY1	6.66133814775097E-16	2.671065982774654E-14	0.9874629729510452E0	-1.012696199647352E0	1.429150158329097E0	1.447294934065288E0	0.3438957614594665E0	0.3874356683429109E0
TMOD3	TMOD3	6.66133814775097E-16	2.671065982774654E-14	0.9983134399831193E0	-1.00168940930707E0	1.368799828460063E0	1.37111229162978E0	0.2996370107492698E0	0.3323801894976393E0
WDR82	WDR82	6.66133814775097E-16	2.671065982774654E-14	0.9761076619955501E0	-1.024477154452004E0	1.257453325802561E0	1.288232205074417E0	0.2423257300474711E0	0.2918923128819226E0
USP47	USP47	6.66133814775097E-16	2.671065982774654E-14	0.9722087559759391E0	-1.028585675507688E0	3.116714579083265E0	3.205807970691018E0	0.7792098395696638E0	0.8314036829003457E0
VPS35	VPS35	6.66133814775097E-16	2.671065982774654E-14	0.9904009910497032E0	-1.009692042957391E0	1.137208298945635E0	1.148230170630518E0	0.1374414370142138E0	0.1691412824079425E0
